averageFitness,bestFitness,
30736,27252,
29621,25908,
28737,24654,
28114,24469,
27362,24130,
26554,23669,
25774,23028,
25386,22187,
24967,21405,
24436,21284,
23479,20239,
22896,20239,
22322,20065,
21813,19525,
21469,18602,
21170,18455,
20725,18455,
20245,18091,
19828,17915,
19347,17804,
19241,17751,
18806,17547,
18851,17300,
18457,17194,
18050,17088,
17920,16916,
17987,16604,
17737,16604,
17370,16341,
17041,16220,
16897,16220,
16619,16015,
16380,15748,
16256,15674,
16108,15398,
15957,14986,
15723,14986,
15563,14720,
15402,14701,
15076,14574,
14986,14232,
14701,14134,
14571,14063,
14294,14027,
14224,13929,
14122,13877,
14103,13672,
14018,13672,
14062,13565,
13848,13308,
13848,13308,
13885,13083,
13664,13083,
13437,13083,
13351,12989,
13268,12989,
13205,12989,
13193,12989,
13248,12989,
13277,12885,
13269,12857,
13135,12817,
13130,12778,
13064,12778,
13021,12778,
12920,12646,
12902,12572,
13055,12500,
12860,12452,
12847,12294,
12904,12230,
12823,12230,
12648,12217,
12409,12141,
12384,12141,
12385,12079,
12431,11937,
12329,11876,
12294,11660,
12258,11660,
11991,11628,
11892,11593,
11743,11353,
11768,11353,
11738,11353,
11777,11307,
11662,11233,
11578,11177,
11448,11164,
11343,11108,
11298,11063,
11249,11046,
11331,10886,
11281,10849,
11308,10836,
11241,10828,
11229,10828,
11042,10828,
10967,10828,
10901,10112,
10863,10112,
10859,10112,
10784,10077,
10277,10077,
10179,10042,
10126,10042,
10151,10009,
10224,9971,
10156,9939,
10122,9939,
10072,9939,
10083,9939,
10045,9939,
10003,9939,
10046,9939,
10056,9939,
10036,9939,
10089,9939,
10040,9934,
10036,9934,
10005,9934,
10051,9899,
10027,9832,
9976,9832,
10065,9797,
10104,9797,
9974,9797,
10121,9797,
9882,9797,
9892,9791,
9903,9791,
9885,9791,
9895,9756,
9884,9756,
9874,9756,
9877,9756,
9839,9756,
9848,9756,
9828,9680,
9812,9680,
9818,9680,
9809,9680,
9773,9520,
9762,9520,
9756,9520,
9708,9345,
9662,9345,
9560,9224,
9399,9224,
9432,9143,
9323,9143,
9270,9125,
9325,9125,
9208,9125,
9186,9125,
9203,9125,
9233,9125,
9189,9125,
9221,9118,
9243,9082,
9227,9082,
9193,9075,
9199,9047,
9178,9039,
9147,9039,
9145,9039,
9144,9039,
9118,9039,
9126,9039,
9156,9039,
9158,9039,
9141,9039,
9150,9039,
9088,9039,
9130,9039,
9120,9038,
9139,9038,
9099,9038,
9124,9038,
9118,9038,
9159,9038,
9126,9038,
9125,9038,
9137,9038,
9142,9038,
9160,9038,
9110,9038,
9128,9038,
9143,9038,
9137,9038,
9118,9038,
9100,9038,
9114,9038,
9115,9038,
9186,9016,
9120,9016,
9152,9016,
9098,9012,
9136,9012,
9065,9012,
9096,9012,
9075,9012,
9118,9012,
9071,9012,
9121,9012,
9053,8953,
9104,8953,
9132,8953,
9094,8953,
9107,8953,
9066,8953,
9071,8953,
9084,8953,
8973,8953,
9027,8953,
9024,8944,
9032,8944,
9055,8944,
9020,8944,
9102,8944,
9068,8944,
8980,8944,
9050,8944,
9033,8877,
9011,8877,
8989,8877,
9051,8877,
9016,8877,
8943,8877,
8938,8877,
8948,8877,
8976,8877,
9003,8877,
8938,8877,
8998,8877,
8944,8877,
8930,8877,
8949,8877,
8931,8877,
8978,8877,
9001,8877,
8928,8877,
8947,8877,
8973,8837,
8942,8837,
8976,8837,
8962,8837,
9015,8837,
8923,8837,
8909,8837,
8970,8837,
8946,8837,
8968,8837,
8955,8837,
8955,8837,
8942,8837,
8944,8837,
8884,8837,
8921,8837,
8989,8837,
8909,8837,
8944,8837,
8939,8837,
8940,8837,
8948,8837,
8919,8837,
8943,8837,
8902,8837,
8950,8837,
8949,8837,
8908,8837,
8934,8837,
8904,8837,
8974,8837,
8941,8837,
8948,8837,
8885,8837,
8916,8837,
8982,8837,
8937,8743,
8919,8743,
8884,8743,
8892,8743,
8833,8743,
8820,8743,
8843,8743,
8845,8743,
8830,8743,
8845,8743,
8856,8743,
8860,8743,
8788,8743,
8886,8743,
8808,8743,
8839,8743,
8816,8743,
8881,8743,
8864,8743,
8803,8743,
8932,8743,
8855,8743,
8824,8743,
8831,8743,
8854,8743,
8809,8743,
8838,8743,
8874,8743,
8900,8743,
8836,8743,
8816,8743,
8804,8743,
8867,8743,
8824,8743,
8835,8743,
8819,8743,
8837,8743,
8837,8743,
8817,8743,
8831,8743,
8812,8743,
8856,8743,
8838,8743,
8831,8743,
8874,8743,
8814,8743,
8860,8743,
8805,8743,
8816,8743,
8802,8743,
8835,8743,
8817,8743,
8808,8743,
8873,8743,
8834,8743,
8798,8743,
8832,8743,
8847,8743,
8843,8743,
8868,8743,
8825,8743,
8851,8743,
8856,8743,
8914,8743,
8814,8743,
8826,8743,
8843,8743,
8858,8743,
8804,8743,
8821,8743,
8805,8743,
8838,8743,
8896,8743,
8842,8743,
8815,8743,
8861,8743,
8816,8743,
8826,8743,
8856,8743,
8876,8743,
8837,8743,
8842,8743,
8875,8743,
8840,8743,
8851,8743,
8812,8743,
8858,8738,
8819,8737,
8840,8737,
8850,8737,
8869,8732,
8847,8732,
8823,8732,
8825,8732,
8799,8732,
8793,8732,
8821,8732,
8822,8732,
8838,8732,
8831,8732,
8834,8732,
8818,8732,
8869,8732,
8803,8732,
8814,8732,
8863,8732,
8816,8732,
8813,8732,
8844,8732,
8822,8732,
8814,8732,
8789,8732,
8817,8732,
8814,8732,
8785,8732,
8816,8732,
8793,8732,
8847,8732,
8817,8732,
8794,8732,
8791,8732,
8816,8732,
8787,8732,
8848,8732,
8830,8732,
8812,8732,
8824,8732,
8781,8732,
8873,8732,
8780,8732,
8855,8732,
8801,8732,
8813,8732,
8799,8732,
8793,8732,
8883,8732,
8842,8732,
8829,8732,
8775,8732,
8804,8732,
8817,8732,
8817,8732,
8834,8732,
8810,8732,
8800,8732,
8866,8732,
8805,8732,
8873,8732,
8862,8732,
8815,8732,
8830,8732,
8884,8732,
8820,8732,
8843,8732,
8809,8732,
8856,8732,
8824,8732,
8812,8732,
8812,8732,
8817,8732,
8806,8732,
8820,8732,
8844,8732,
8809,8732,
8848,8732,
8892,8732,
8813,8732,
8818,8732,
8805,8732,
8841,8732,
8857,8732,
8835,8732,
8789,8732,
8860,8732,
8780,8724,
8794,8724,
8833,8724,
8839,8724,
8786,8724,
8820,8724,
8800,8724,
8806,8724,
8791,8724,
8871,8724,
8837,8724,
8776,8724,
8816,8724,
8855,8724,
8812,8724,
8773,8724,
8829,8724,
8854,8724,
8795,8724,
8852,8724,
8836,8724,
8805,8724,
8823,8724,
8813,8724,
