averageFitness,bestFitness
30579,26799
29857,25530
29767,25232
29217,24403
28846,24403
28855,24403
28512,23619
28123,23101
27647,23101
26602,22826
26074,20837
25502,20837
24371,18431
23942,18431
23070,18431
22912,18431
22693,18431
22435,18431
22182,18431
21793,18431
21314,17688
21247,17485
21165,17205
20433,16475
19537,15801
19071,15801
19465,15600
18694,15600
18474,15600
18197,14876
17904,14876
17680,14001
17503,14001
16839,14001
16673,14001
16365,14001
16156,14001
15817,13474
15853,13474
15545,13474
15393,13066
15065,13066
14923,12956
14635,12930
14425,12501
13978,12356
13571,12116
13190,11995
12948,11813
12576,11798
12534,11380
12110,11380
11866,11293
11801,11236
11584,11095
11604,11055
11382,11014
11318,10990
11424,10914
11289,10907
11221,10785
11097,10761
11126,10707
10992,10707
10923,10707
10982,10707
10971,10691
10894,10652
10799,10652
10756,10652
10763,10652
10727,10652
10747,10652
10713,10652
10732,10652
10749,10244
10749,10244
10735,10244
10774,10244
10707,10244
10731,10244
10766,10244
10750,10244
10987,10244
10772,10244
10780,10244
10728,10244
10663,10244
10634,10244
10732,10244
10848,10244
10611,10244
10660,10244
10659,10244
10651,10244
10721,10244
10621,10244
10716,10244
10633,10244
10715,10244
10822,10244
10952,10244
10654,10244
10541,10244
10451,10244
10481,10111
10502,10111
10480,10111
10407,10111
10413,10111
10951,10111
10421,10111
10451,10111
10440,10111
10398,10111
10473,10111
10434,10111
10441,10111
10407,10111
10420,10111
10475,10111
10585,10111
10401,10110
10349,10110
10286,10110
10265,10021
10304,10021
10307,10021
10229,10021
10175,10021
10249,10021
10121,10021
10107,10021
10119,10021
10101,10021
10112,10021
10102,10021
10102,10021
10092,9751
10259,9751
10131,9751
10132,9751
10136,9751
10117,9751
10086,9751
10102,9751
10106,9751
10093,9751
10197,9751
10368,9751
10258,9751
10240,9751
10119,9751
10172,9751
10229,9751
10118,9751
10142,9751
10173,9751
10198,9751
10397,9751
10111,9751
10115,9751
10079,9751
10104,9751
10117,9751
10117,9751
10100,9751
10575,9751
10098,9751
10112,9751
10233,9751
10114,9751
10108,9751
10099,9751
10103,9751
10111,9751
10121,9751
10083,9751
10080,9751
10289,9751
10280,9751
10141,9751
10109,9751
10073,9751
10295,9751
10109,9751
10116,9751
10138,9751
10250,9751
10128,9751
10081,9751
10153,9751
10063,9751
10128,9751
10090,9751
10087,9751
10087,9751
10073,9751
10108,9751
10149,9751
10096,9751
10129,9751
10252,9751
10084,9751
10091,9751
10077,9751
10085,9751
10089,9751
10137,9751
10142,9751
10131,9751
10125,9751
10109,9751
10222,9751
10074,9751
10279,9751
10072,9751
10377,9751
10135,9751
10158,9751
10095,9751
10101,9751
10091,9751
10114,9751
10117,9751
10080,9751
10089,9751
10192,9751
10122,9751
10103,9751
10078,9751
10102,9751
10362,9751
10105,9751
10077,9751
10076,9751
10084,9751
10168,9751
10092,9751
10124,9751
10115,9751
10104,9751
10280,9751
10086,9751
10130,9751
10127,9751
10116,9751
10083,9751
10111,9751
10140,9751
10051,9751
10083,9751
10105,9751
10128,9751
10116,9751
10126,9751
10088,9751
10132,9751
10180,9751
10143,9751
10089,9751
10127,9751
10090,9751
10184,9751
10076,9751
10136,9751
10156,9751
10117,9751
10243,9751
10119,9751
10099,9751
10116,9751
10202,9751
10075,9751
10062,9586
10214,9586
10111,9586
10284,9586
10103,9586
10072,9586
10125,9586
10135,9586
10122,9586
10091,9586
10093,9586
10089,9586
10104,9586
10303,9586
10119,9586
10070,9586
10108,9586
10078,9586
10119,9586
10096,9586
10103,9586
10117,9586
10119,9586
10120,9586
10267,9586
10126,9586
10138,9586
10129,9586
10182,9586
10104,9586
10241,9586
10117,9586
10121,9586
10162,9586
10474,9586
10445,9586
10102,9586
10095,9586
10105,9586
10086,9586
10111,9586
10051,9586
10049,9586
10148,9586
10098,9586
10040,9586
10074,9586
10100,9586
10063,9586
10058,9586
10089,9586
10036,9586
10391,9586
10035,9586
10046,9586
10061,9586
10063,9586
10063,9586
10081,9586
10208,9586
10063,9586
10085,9586
10238,9586
10128,9586
10150,9586
10183,9586
10064,9586
10092,9586
10067,9586
10083,9586
10071,9586
10092,9586
10223,9586
10053,9586
10044,9586
10145,9586
10030,9586
10038,9586
10056,9586
10027,9586
10049,9586
10009,9586
10011,9586
10105,9586
10039,9586
10079,9586
10001,9586
10123,9586
10055,9586
10058,9586
10053,9586
9982,9586
10030,9586
10005,9586
10120,9586
10036,9586
10038,9586
9994,9586
10027,9586
10067,9586
10084,9586
10203,9586
10030,9586
10033,9586
10143,9586
10010,9586
10010,9586
9980,9586
10012,9586
10013,9586
10026,9586
10015,9586
10009,9586
10228,9586
9986,9586
9949,9586
10009,9586
10046,9586
10039,9586
10042,9586
9999,9586
10017,9586
10001,9586
10021,9586
10339,9586
10003,9586
10179,9586
9984,9586
10010,9586
10001,9586
9980,9586
10052,9586
10120,9586
10014,9586
10108,9586
10122,9586
9988,9586
9997,9586
10032,9586
10053,9586
10041,9586
10028,9586
10005,9586
9972,9586
10289,9586
10590,9586
9990,9586
10098,9586
10033,9586
9975,9586
10013,9586
10005,9586
10018,9586
10015,9586
10004,9586
9994,9586
10020,9586
10002,9586
10148,9586
10209,9586
9993,9586
10000,9586
10000,9586
9996,9586
10007,9586
10051,9586
10008,9586
9977,9586
10012,9586
9995,9586
10000,9586
10041,9586
10028,9586
10140,9586
10053,9586
9956,9586
10368,9586
9963,9586
10027,9586
10027,9586
10017,9586
9973,9586
9998,9586
10019,9586
10008,9586
10058,9586
9979,9586
10006,9586
9974,9586
10144,9586
10178,9586
10015,9586
9980,9586
10020,9586
10009,9586
10021,9586
10172,9586
10003,9586
10000,9586
9971,9586
10149,9586
10012,9586
10224,9586
10042,9586
10201,9586
10027,9586
10133,9586
10054,9586
10007,9586
9998,9586
9997,9586
9977,9586
10021,9586
10015,9586
10011,9586
9996,9586
10040,9586
9998,9586
10315,9586
9984,9586
10019,9586
9981,9586
9994,9586
9982,9586
10006,9586
9962,9586
9990,9586
9997,9586
10021,9586
10015,9586
10036,9586
10002,9586
10735,9586
10337,9586
10018,9586
9959,9586
9994,9586
10141,9586
10021,9586
9958,9586
9991,9586
10001,9586
10168,9586
10200,9586
10031,9586
10004,9586
10026,9586
9997,9586
10004,9586
9973,9586
10002,9586
9999,9586
9992,9586
10181,9586
10008,9586
9979,9586
10127,9586
10002,9586
9989,9586
9974,9586
10025,9586
9966,9586
10196,9586
10324,9586
10134,9586
10005,9586
9992,9586
10032,9586
10171,9586
9984,9586
10034,9586
9995,9586
10020,9586
10006,9586
10006,9586
10003,9586
10005,9586
9978,9586
9979,9586
10004,9586
9983,9586
9993,9586
10042,9586
10039,9586
10035,9586
10013,9586
10052,9586
10007,9586
9980,9586
10375,9586
10028,9586
10423,9586
10361,9586
10033,9586
10005,9586
10006,9586
10039,9586
10478,9586
10003,9586
9991,9586
10031,9586
10014,9586
9987,9586
10002,9586
9982,9586
9975,9586
10004,9586
10089,9586
10024,9586
10006,9586
9998,9586
9967,9586
10003,9586
9973,9586
10032,9586
10253,9586
10007,9586
9978,9586
9960,9586
9977,9586
9982,9586
10183,9586
10010,9586
10033,9586
9999,9586
10040,9586
9991,9586
10074,9586
10012,9586
10007,9586
10227,9586
9983,9586
10005,9586
10223,9586
9985,9586
9996,9586
10005,9586
9974,9586
10139,9586
9973,9586
10123,9586
10007,9586
10053,9586
10025,9586
10122,9586
9997,9586
9998,9586
10009,9586
10020,9586
9987,9586
10314,9586
9997,9586
9982,9586
9980,9586
10033,9586
9984,9586
10194,9586
10044,9586
10039,9586
9985,9586
10062,9586
10004,9586
10067,9586
10138,9586
10088,9586
10222,9586
10247,9586
9993,9586
10013,9586
10200,9586
10005,9586
9994,9586
10005,9586
9973,9586
9983,9586
9990,9586
10030,9586
10131,9586
10142,9586
10262,9586
10037,9586
9975,9586
9960,9586
10004,9586
9986,9586
10042,9586
9990,9586
10040,9586
10040,9586
10050,9586
10002,9586
10017,9586
10097,9586
9957,9586
10032,9586
10099,9586
10017,9586
10082,9586
9989,9586
10027,9586
10035,9586
10003,9586
10003,9586
9987,9586
10002,9586
9988,9586
10000,9586
10058,9586
10034,9586
10013,9586
10015,9586
9993,9586
10002,9586
9974,9586
9986,9586
9965,9586
10005,9586
9968,9586
10003,9586
10006,9586
10017,9586
10236,9586
10022,9586
10031,9586
10000,9586
10009,9586
10062,9586
9988,9586
10017,9586
10209,9586
10014,9586
10014,9586
9987,9586
10005,9586
10050,9586
10017,9586
9987,9586
