averageFitness,bestFitness
30692,25540
29163,24770
28102,24770
27451,24464
26278,22158
25485,21756
24758,21218
24392,20843
23963,20843
23233,20843
22320,20379
21664,20254
21438,19604
20967,19530
20430,19107
19855,18886
19534,18865
19267,18739
19029,18437
18833,18407
18709,18350
18652,18200
18473,18200
18407,18010
18384,18010
18259,17808
18144,17241
18083,17241
18097,17241
18124,16867
17969,16867
17341,16651
17116,16607
16855,16355
16738,16174
16519,15942
16321,15545
16114,15505
15906,15505
15765,15505
15558,15505
15504,15422
15502,15380
15505,15380
15516,15369
15443,15365
15393,15365
15413,15365
15415,15365
15396,15365
15365,15365
15365,15365
15365,15365
15367,15365
15370,15365
15365,15365
15365,15365
15374,15365
15365,15365
15365,15365
15369,15365
15374,15365
15365,15365
15387,15157
15394,15157
15459,15157
15478,15157
15173,15157
15157,15157
15157,15157
15164,15157
15157,15157
15166,15157
15163,15157
15160,15157
15157,15157
15157,15157
15157,15157
15157,15157
15157,15157
15167,15157
15155,14959
15167,14959
15113,14542
15024,14542
14831,14500
14627,14500
14543,14500
14531,14458
14504,14458
14500,14458
14500,14458
14469,14458
14458,14458
14462,14458
14458,14458
14463,14458
14475,14458
14468,14458
14458,14458
14458,14458
14458,14458
14458,14458
14463,14458
14458,14458
14473,14458
14458,14458
14466,14458
14481,14458
14463,14458
14470,14458
14458,14458
14458,14458
14456,14296
14495,14296
14466,14296
14439,14285
14447,14285
14312,14285
14287,14285
14287,14285
14285,14285
14288,14266
14284,14266
14294,14266
14279,14266
14273,14266
14274,14266
14266,14266
14270,14266
14264,14085
14302,14085
14286,14085
14309,14085
14293,14085
14314,14085
14286,14085
14311,14085
14293,14085
14364,14085
14514,14044
14356,14044
14358,14044
14091,14044
14047,14044
14048,14036
14048,14036
14060,14036
14038,14036
14044,14036
14041,14036
14039,14036
14036,14036
14036,14036
14036,14036
14036,14036
14049,14036
14036,14036
14039,14036
14043,14036
14036,14036
14044,14036
14038,14036
14036,14036
14043,14036
14052,14036
14035,13984
14039,13984
14036,13681
13994,13629
13929,13629
13826,13411
13633,13411
13509,13411
13449,13371
13410,13371
13416,13371
13404,13371
13375,13371
13375,13371
13371,13371
13383,13371
13377,13371
13377,13371
13371,13371
13370,13304
13381,13304
13379,13304
13369,13304
13314,13304
13307,13304
13319,13304
13308,13304
13311,13304
13304,13304
13309,13304
13306,13304
13304,13304
13311,13304
13316,13304
13304,13304
13327,13304
13302,13128
13317,13128
