averageFitness,bestFitness
30591,25836
29474,24872
28711,24074
28226,24074
27610,23878
27325,23525
27310,22853
27075,22555
26900,22543
26239,20507
25862,20507
25144,20507
24826,20255
24079,20255
23582,20169
22860,19679
22377,18894
21655,18658
20969,18237
20850,18237
20524,17858
20343,17464
19861,17351
19754,17186
19550,17186
19395,17043
18917,16051
18543,15853
18038,15853
17579,15805
17250,15805
16867,15327
16585,15259
16141,14883
15755,14570
15821,14570
15512,14358
15382,14234
15035,14234
14901,14085
14647,14085
14569,13963
14336,13963
14197,13783
14082,13757
14008,13725
14078,13725
14062,13720
13871,13719
13752,13717
13770,13717
13741,13717
13744,13717
13728,13717
13720,13717
13717,13712
14028,13712
14145,13712
14220,13712
13968,13712
13928,13712
13806,13712
14228,13712
14622,13712
14109,13712
13792,13712
13726,13712
13720,13712
13717,13712
13723,13712
13720,13712
13730,13712
13722,13712
13717,13712
13717,13712
13717,13712
13717,13712
13728,13640
13786,13640
13730,13640
13727,13640
13905,13640
13717,13640
13723,13640
13721,13640
13724,13640
13722,13640
13727,13640
13722,13640
13716,13598
13848,13598
14058,13598
13934,13598
14256,13598
14342,13598
14194,13598
14034,13598
14194,13598
14175,13598
14512,13598
14452,13598
14594,13598
14481,13598
13826,13598
13598,13598
13598,13598
13598,13598
13612,13598
13600,13551
13735,13551
13773,13551
13598,13551
13607,13551
13608,13551
13602,13551
13612,13551
13597,13526
13774,13526
13714,13466
13735,13466
13655,13466
13776,13456
13767,13266
13722,12973
13633,12957
13519,12915
13426,12915
13161,12915
13197,12915
13048,12915
12934,12915
12920,12915
12920,12915
12917,12818
12950,12818
13091,12818
13026,12818
13237,12818
13299,12818
13570,12818
13599,12818
14007,12818
14161,12818
13987,12818
12884,12796
12818,12796
12815,12796
12819,12796
12802,12796
12800,12796
12808,12796
12822,12796
12796,12796
12807,12796
12796,12796
12808,12796
12796,12613
12862,12613
13040,12613
13110,12613
13193,12613
13368,12613
13331,12572
12768,12539
12637,12539
12676,12539
12630,12539
12615,12539
12550,12539
12547,12539
12539,12539
12547,12539
12553,12539
12541,12539
12540,12539
12544,12539
12539,12539
12539,12539
12543,12403
12572,12403
12539,12403
12544,12403
12540,12403
12549,12403
12539,12403
12542,12403
12539,12403
12541,12403
12547,12403
12539,12403
12539,12403
12546,12403
12539,12403
12542,12403
12547,12403
12549,12403
12552,12403
12539,12403
12550,12403
12540,12403
12553,12403
12539,12403
12539,12403
12556,12403
12545,12403
12540,12403
12539,12403
12539,12403
12539,12403
12545,12403
12539,12403
12546,12343
12579,12343
12540,12343
12539,12343
12541,12343
12545,12343
12612,12343
12717,12343
12747,12343
12539,12343
12539,12343
12540,12343
12540,12343
12539,12343
12539,12343
12545,12343
12547,12343
12547,12343
12544,12343
12565,12343
12540,12343
12539,12343
12538,12343
12958,12343
13216,12343
13609,12343
13858,12343
14193,12343
13222,12343
12494,12343
12495,12343
12507,12343
12494,12343
12547,12343
12490,12343
12494,12343
12468,12343
12472,12343
12448,12343
12455,12343
12458,12343
12448,12343
12456,12343
12455,12343
12448,12343
12448,12343
12460,12343
12454,12343
12448,12343
12468,12343
12448,12343
12448,12343
12467,12343
12451,12343
12468,12343
12448,12343
12448,12343
12463,12343
12450,12343
12448,12343
12464,12343
12454,12343
12448,12343
12462,12343
12451,12343
12479,12194
12572,12194
12892,12194
13163,12194
13256,12194
12803,12194
12996,12194
13452,12194
13474,12194
13040,12194
12236,12194
12203,12194
12197,12194
12194,12194
12208,12194
12203,12194
12194,12194
12203,12194
12194,12194
12194,12194
12194,12194
12194,12194
12216,12194
12207,12194
12194,12194
12194,12194
12208,12194
12195,12150
12411,12150
12411,12150
12194,12150
12201,12150
12203,12150
12201,12150
12194,12150
12200,12150
12194,12150
12208,12150
12195,12150
12194,12150
12210,12150
12213,12150
12194,12150
12226,12150
12195,12145
12401,12145
13567,12145
13614,12145
12952,12145
14431,12145
13967,12145
14573,12145
15098,12145
14977,12145
12859,12145
12149,12145
12147,12145
12157,12145
12143,11859
12421,11859
12609,11859
12443,11859
12578,11859
12445,11859
12268,11859
12271,11859
12340,11859
12152,11859
12145,11859
12145,11859
12159,11859
12179,11844
12719,11844
13373,11844
13300,11844
13770,11844
13794,11844
13195,11844
13472,11844
14006,11844
14206,11844
12269,11844
11861,11844
11844,11844
11858,11844
11847,11844
11854,11844
11856,11844
11860,11844
11850,11844
11844,11844
11846,11844
11847,11844
11855,11844
11844,11844
11844,11844
11851,11844
11858,11844
11851,11844
11845,11844
11843,11824
11846,11824
11847,11759
11854,11759
11822,11753
11786,11753
11773,11753
11760,11753
11768,11753
11753,11753
11753,11753
11756,11753
11765,11753
11753,11753
11753,11753
11761,11753
11753,11753
11766,11753
11755,11753
11764,11753
11753,11753
11753,11753
11753,11753
11767,11753
11753,11753
11764,11753
11753,11753
11755,11753
11755,11753
11753,11753
11759,11753
11753,11753
11758,11753
11753,11753
11761,11753
11760,11753
11758,11753
11753,11753
11753,11753
11760,11753
11753,11753
11766,11753
11755,11753
11759,11753
11757,11753
11755,11753
11753,11753
11753,11753
11776,11753
11753,11753
11760,11753
11767,11753
11766,11753
11753,11753
11755,11753
11762,11753
11753,11753
11773,11753
11763,11753
11760,11753
11774,11753
11753,11753
11753,11753
11754,11753
11753,11753
11767,11753
11761,11753
11769,11753
11753,11753
11753,11753
11759,11608
12503,11608
12331,11608
12849,11608
13842,11608
13402,11608
15043,11608
15492,11608
14341,11608
11614,11608
11612,11608
11617,11608
11608,11608
11612,11608
11608,11608
11608,11608
11626,11608
11623,11608
11619,11608
11622,11608
11608,11608
11608,11608
11621,11608
11608,11608
11622,11608
11611,11608
11621,11608
11608,11608
11631,11608
11611,11608
11614,11608
11621,11608
11624,11608
11615,11608
11612,11608
11608,11608
11617,11589
11658,11589
11623,11589
11675,11589
11727,11589
11705,11589
11770,11589
11760,11589
11699,11224
12076,11224
11967,11224
11977,11224
11664,11224
11595,11224
11589,11224
11593,11224
11589,11224
11614,11224
11589,11224
11591,11224
11589,11224
11591,11224
11589,11224
11588,11224
11681,11224
11930,11224
11597,11224
11596,11224
11590,11224
11590,11224
11598,11224
11597,11224
11605,11224
11601,11224
