averageFitness,bestFitness
30413,26524
28882,24729
28172,24604
27370,24359
26740,23003
26072,23003
25192,22239
24688,22155
24012,21787
23293,20917
22839,20349
22413,19951
21867,19870
21606,19568
21229,19339
20910,18929
20441,18072
19899,17925
19378,17925
19028,17153
18623,16884
18146,16884
17820,16731
17651,16267
17471,16000
17361,15887
16926,14721
16602,14464
16176,14402
15593,14402
14967,14148
14639,13775
14405,13399
14068,13346
13758,13310
13516,13083
13398,13083
13365,13083
13230,12946
13197,12946
13135,12920
13075,12910
13013,12910
13001,12910
12988,12910
12955,12732
13010,12732
13068,12732
13063,12617
13139,12617
12828,12617
12809,12604
12694,12591
12708,12403
12665,12389
12652,12317
12530,12303
12423,12204
12361,12204
12347,12204
12424,12150
12510,11671
12673,11671
12330,11671
12507,11653
12326,11653
11945,11346
11754,11346
11662,11190
11562,11081
11456,11081
11536,10938
11330,10938
11285,10938
11264,10811
11260,10811
11190,10738
10951,10738
10911,10733
10878,10733
10889,10720
11134,10720
10869,10720
10969,10713
10948,10713
10835,10713
10750,10713
10792,10713
10761,10713
10783,10546
10801,10546
10868,10546
10949,10546
10723,10546
10597,10546
10595,10546
10607,10546
10633,10546
10613,10546
10619,10546
10629,10546
10614,10546
10601,10546
10614,10546
10606,10546
10608,10546
10628,10546
10641,10546
10585,10546
10590,10539
10603,10539
10607,10464
10607,10464
10772,10381
10936,10379
11002,10379
10770,10379
10586,10379
10442,10334
10582,10334
10496,10333
10602,10015
10716,10015
10653,10015
10585,10015
10613,10015
10731,10015
10336,10015
10097,10009
10096,10009
10080,10009
10112,9967
10048,9931
10047,9931
10049,9931
10047,9931
10027,9918
10016,9918
10075,9918
10135,9918
10199,9918
10385,9918
10025,9918
9986,9918
9968,9918
9989,9918
9974,9918
9986,9918
9972,9918
9974,9918
9955,9877
9999,9877
10054,9877
9998,9877
10000,9877
9997,9877
10012,9877
10001,9859
9972,9859
10010,9859
9912,9859
9979,9859
9893,9859
9928,9859
9922,9859
9902,9859
9886,9859
9926,9859
9935,9818
9939,9818
10035,9818
10005,9818
9957,9708
10127,9708
10244,9708
10191,9694
9908,9694
9801,9694
9775,9694
9743,9693
9747,9693
9787,9693
9757,9693
9764,9693
9768,9693
9769,9693
9800,9693
9783,9693
9768,9693
9766,9657
9750,9657
9737,9657
9748,9657
9745,9657
9715,9657
9743,9657
9743,9657
9693,9657
9759,9657
9727,9657
9692,9657
9702,9657
9689,9657
9734,9647
9715,9647
9727,9647
9747,9647
9715,9647
9704,9647
9701,9647
9703,9647
9738,9647
9741,9647
9758,9647
9698,9647
9691,9647
9764,9647
9701,9647
9736,9647
9732,9647
9733,9647
9742,9647
9719,9647
9744,9635
9693,9635
9694,9635
9698,9635
9705,9635
9721,9635
9722,9635
9722,9635
9732,9635
9762,9635
9722,9635
9737,9635
9709,9635
9696,9635
9757,9635
9671,9635
9712,9635
9682,9635
9693,9634
9814,9634
9800,9634
9853,9634
10001,9634
10032,9634
9721,9634
9663,9623
9666,9623
9698,9623
9735,9623
9675,9623
9718,9623
9722,9623
9719,9623
9688,9623
9669,9623
9685,9623
9716,9623
9686,9623
9681,9623
9695,9623
9681,9623
9717,9623
9680,9623
9699,9623
9663,9623
9704,9623
9686,9623
9714,9623
9690,9623
9676,9623
9734,9623
9699,9623
9714,9623
9672,9623
9672,9623
9686,9623
9716,9623
9691,9623
9733,9623
9699,9623
9679,9623
9657,9623
9679,9623
9693,9623
9714,9623
9710,9623
9645,9623
9733,9623
9710,9623
9699,9623
9698,9623
9718,9623
9666,9623
9707,9623
9724,9623
9652,9623
9695,9623
9687,9623
9688,9623
9711,9623
9688,9623
9743,9623
9667,9623
9731,9623
9673,9623
9696,9614
9664,9614
9679,9614
9666,9614
9700,9614
9694,9614
9703,9614
9655,9614
9685,9614
9673,9614
9669,9614
9755,9614
9668,9614
9705,9614
9745,9614
9673,9614
9682,9614
9657,9614
9689,9614
9664,9614
9765,9612
9723,9612
9684,9612
9684,9612
9642,9612
9655,9612
9749,9612
9676,9612
9674,9612
9712,9612
9725,9612
9653,9612
9677,9612
9683,9612
9654,9612
9718,9612
9664,9612
9639,9612
9660,9612
9696,9612
9742,9612
9702,9612
9660,9612
9662,9612
9662,9612
9663,9612
9675,9612
9703,9612
9698,9612
9722,9612
9660,9612
9665,9612
9720,9612
9677,9612
9678,9612
9675,9612
9716,9612
9689,9612
9699,9612
9660,9612
9693,9612
9682,9612
9667,9612
9661,9610
9703,9610
