averageFitness,bestFitness
30710,26013
29806,26013
29545,25074
28842,25074
28549,21919
28187,21919
27622,21919
27249,21919
26314,21919
25284,21504
23840,21366
22287,21281
22102,20750
21851,20468
21404,20360
21307,20216
21005,19980
21108,19980
20838,19847
20691,19267
20477,19267
20836,19267
20762,19149
20956,19149
21116,19149
21576,19147
21731,19114
21352,18955
20759,18955
19614,18782
19580,18782
19647,18769
20381,18769
19973,18769
20295,18551
19833,18343
19441,18343
19559,18288
20003,18163
20737,18163
20543,18144
20647,18144
20239,17954
20844,17828
21108,17828
19848,17719
19513,17671
19300,17562
18689,17455
18367,17397
18142,17067
18475,17067
17952,16776
18118,16776
18230,16748
18420,16748
18388,16641
17912,16614
17393,16586
16895,16586
16707,16530
16659,16530
16764,16483
17338,16350
17964,16350
17820,16269
17571,16269
17988,16269
17756,16269
18109,16269
18077,16269
17766,15878
17071,15878
16977,15878
17129,15878
16731,15878
16268,15661
16273,15550
15892,15514
15715,15394
16126,15394
15861,15394
16096,15074
16404,15074
16153,15074
16621,15074
16009,15074
16479,15037
16882,15037
17628,14991
17803,14991
18150,14991
18390,14991
18330,14991
17352,14991
16532,14929
15427,14929
15251,14866
15475,14866
15640,14866
15593,14866
15808,14866
15298,14828
15286,14697
15553,14697
15532,14697
15772,14697
16740,14682
16675,14562
17119,14562
17169,14562
15557,14562
16126,14562
15970,14562
16186,14562
16591,14541
15171,14224
15001,14224
14739,14224
14926,14224
15097,14224
15278,14224
15759,14224
16032,14197
15942,14197
15956,14197
15677,14197
16034,14197
16134,14197
15826,14197
15781,14197
14605,14101
14538,14101
14481,13996
15098,13996
15323,13996
15482,13996
15195,13996
14396,13806
14229,13613
14742,13613
14400,13613
14277,13613
14148,13613
14162,13609
14028,13609
14288,13609
14301,13607
14101,13607
13698,13331
14027,13331
13790,13331
13947,13331
14286,13331
14408,13331
14210,13331
14868,13331
14354,13331
14310,13331
14841,13331
14415,13331
14176,13331
14392,13331
15630,13331
14950,13331
16852,13331
16849,13331
15890,13331
13779,13331
13681,13331
13583,13331
13708,13141
13589,13130
13600,13130
13648,13058
13569,13043
13397,13043
13343,13043
13224,13043
13334,13024
13148,12821
13227,12745
13619,12745
13716,12742
13988,12742
13612,12742
13967,12742
14142,12728
14518,12728
14731,12728
14353,12728
13982,12728
12869,12691
12792,12687
12812,12647
12849,12647
12821,12594
12764,12576
12651,12552
12662,12499
12644,12499
12603,12283
12569,12213
12597,12137
12580,12137
12695,12137
12783,12137
12535,12137
12340,12137
12299,11817
12354,11817
12311,11817
12349,11817
12363,11817
12335,11817
12366,11817
13039,11817
12704,11817
12745,11817
13001,11817
12774,11815
12183,11815
11878,11568
11864,11568
11824,11568
11754,11534
11678,11292
11621,11280
11615,11280
11572,11280
11573,11280
11460,11250
11356,11238
11329,11228
11304,11198
11324,11198
11417,11177
11318,11170
11375,11170
11931,11166
12041,11166
12095,11166
12154,11166
12348,11166
12831,11166
12661,11166
11318,11166
11182,11166
11222,11127
11260,11127
11252,11127
11202,11127
11203,11127
11177,11127
11191,11127
11187,11127
11219,11127
11182,11127
11200,11127
11203,11127
11210,11127
11203,11127
11185,11124
11196,11069
11206,11069
11224,11069
11179,11020
11351,11020
11399,11020
11440,11020
11376,11020
11294,10914
11664,10914
11543,10914
11680,10914
11507,10838
10979,10838
11013,10838
11023,10838
10987,10838
11074,10838
11034,10838
11071,10694
11158,10694
11108,10597
10965,10597
10851,10380
10839,10380
10865,10380
10967,10380
11032,10380
11026,10380
