averageFitness,bestFitness
30617,24633
29316,24633
28480,24071
28058,24071
27396,23578
27109,22382
26661,22382
26233,22382
26247,20502
25839,20502
25707,20502
25412,20502
24933,20502
25199,20502
24898,20502
24723,20502
24927,20502
24903,20502
24718,20502
24398,20502
24585,20502
24766,20502
24620,20502
24366,20502
24293,20502
23922,20111
23587,19934
23751,19934
23460,19934
23372,19785
23482,19301
22841,18936
22866,18936
23132,18092
22427,18092
22229,18092
22100,18092
21966,18092
21714,18092
21279,18092
21157,17313
21138,17313
20870,17313
21180,17313
21433,17283
20946,17283
20958,17283
21060,17283
20785,16888
20469,16669
19903,16409
20096,16388
20273,16388
19646,16388
20087,16388
19853,16388
19738,16388
19759,16388
19783,16388
19249,16388
19260,16243
18947,15847
18903,15847
19157,15847
19691,15847
19996,15518
19743,14810
19102,14810
18533,14758
17854,14758
17594,14425
17306,14312
16844,14312
16486,14312
16158,14138
16174,14138
16306,14039
16052,14039
15514,14039
15301,14039
15241,14001
15013,13924
14915,13721
14796,13387
14783,13145
14778,13145
14793,13145
14983,12455
14794,12455
14755,12455
14625,12455
14426,12422
14162,12346
13487,11994
13329,11994
13313,11994
13042,11880
13009,11880
13048,11764
12981,11764
12994,11764
12862,11764
12578,11651
12364,11576
12280,11567
12383,11466
12348,11326
12442,11326
12344,11326
12293,11106
12133,11058
12134,11032
11982,11017
11834,10904
11710,10904
11663,10790
11418,10774
11376,10673
11343,10544
11330,10544
11340,10528
11378,10519
11785,10488
11526,10358
11521,10358
11603,10358
11366,10358
11317,10321
11334,10020
11024,10020
10875,10020
10855,10020
10883,10020
10640,9843
10549,9843
10592,9780
10421,9780
10276,9560
10364,9560
10272,9560
10267,9507
10245,9507
10157,9500
10137,9500
10074,9447
10082,9193
9965,9193
9942,9132
9974,9132
9871,9111
9752,9111
9707,9111
9578,9111
9587,9111
9602,9111
9620,9104
9671,9104
9606,9102
9530,9102
9507,9018
9516,9009
9514,9009
9635,8996
9516,8996
9621,8994
9605,8987
9525,8958
9633,8958
9493,8931
9406,8931
9403,8931
9477,8929
9427,8929
9466,8929
9458,8929
9425,8929
9393,8929
9358,8929
9328,8912
9433,8912
9453,8912
9404,8912
9345,8912
9340,8912
9274,8912
9392,8912
9370,8912
9408,8912
9315,8912
9390,8912
9321,8912
9408,8912
9278,8912
9418,8912
