averageFitness,bestFitness
30552,25211
29954,25211
29356,24900
29347,24900
28824,23543
28877,23543
28887,23313
28787,23313
28681,23313
28697,23313
28869,23313
28744,23313
28378,23313
28216,23313
27641,22665
27428,22665
27072,21820
26950,21820
26485,21820
26706,21820
26694,21820
26549,21820
26267,21820
25756,21597
25368,21597
25411,20756
25239,20756
25511,20663
25547,20663
25290,20224
24926,20224
25338,20224
24965,19965
24929,19806
24714,19806
24716,19806
24870,19806
24723,19309
24414,19309
24817,19309
24896,19309
24679,19309
24520,19309
24642,19309
25407,19309
25167,19309
25133,19309
25086,19309
24785,19309
24605,19309
24317,19309
24024,19309
23765,19309
23362,19309
23596,19062
23359,19062
23084,18296
22912,18286
22886,18286
23222,18286
22919,18286
22938,18286
22845,18156
22385,18156
22893,18156
22858,18156
22877,18156
22371,18156
22250,18135
21940,18135
21844,17790
21808,17790
21913,17790
21768,17790
22447,17764
21715,17598
21985,17543
22289,17543
22933,17543
23089,17543
22775,17543
22632,17543
22237,17543
22476,17543
22378,17543
22363,17543
22616,17543
22659,17543
22640,17543
22497,17543
22509,17187
21839,16597
21960,16253
21621,16253
21656,16253
21933,16253
21789,16253
21407,16253
21861,16253
21583,16253
21404,16253
21393,16253
21225,16253
20961,16253
21225,16253
20980,16253
20694,16253
20659,16253
20999,16253
20806,16253
21012,16253
21178,16253
21065,16253
21171,16253
21098,16253
21187,16253
21324,16253
20924,16253
21355,16253
21638,16253
21341,16253
21545,16253
21719,16253
21997,16253
22578,16253
22911,16253
22799,16253
22300,16253
22217,16253
21923,16253
22189,16253
22042,16253
22052,16253
21819,16253
21280,16253
21148,16253
21121,16253
20974,16216
20476,16216
20066,16216
20251,16216
20397,16174
20522,16174
20314,16174
20921,16174
21055,16174
21400,16174
21220,16174
21117,16174
21504,16174
21211,16174
21176,16174
21196,16174
20971,16174
21226,15959
21421,15959
21184,15959
21458,15959
21122,15959
21059,15959
20955,15959
21048,15959
20885,15959
21122,15959
22286,15959
22341,15959
21899,15959
21833,15959
22199,15959
22352,15959
22068,15959
22190,15959
22070,15959
21815,15959
21826,15959
21577,15959
21624,15959
22056,15959
21952,15959
21809,15959
22089,15959
21871,15959
21837,15959
22034,15959
21843,15959
21673,15959
21673,15959
21393,15959
21245,15959
20876,15959
20686,15959
20757,15959
21242,15959
21037,15959
21324,15959
21258,15959
20860,15959
20935,15959
21146,15959
20692,15959
20703,15959
20326,15959
20118,15959
20148,15959
20270,15959
19996,15959
19886,15959
19912,15959
19761,15959
20071,15959
19748,15959
19581,15959
19915,15959
20212,15959
19849,15959
19843,14888
19804,14888
19674,14888
19868,14888
20321,14888
19927,14888
20173,14888
20915,14888
20517,14888
20487,14888
20962,14888
20814,14888
20576,14888
20662,14888
20771,14888
20802,14888
20535,14888
19954,14888
19738,14888
19438,14888
19718,14888
19807,14888
19715,14888
19849,14888
19583,14888
19748,14888
19750,14870
19441,14870
19494,14870
19146,14870
19024,14870
18853,14870
18508,14870
18627,14870
18825,14870
19317,14870
18772,14551
18696,14551
19122,14551
19044,14551
19142,14551
18736,14551
19083,14551
18807,14551
18729,14551
19133,14336
19158,14336
19074,14336
19240,14336
19056,14336
19113,14336
19256,14336
18915,14336
18371,14336
18578,14336
19125,14336
19609,14336
20119,14336
20018,14336
19762,14336
20178,14336
20079,14336
19724,14336
19532,14336
19294,14336
19001,14336
18616,14336
18326,14336
19060,14336
18302,14308
18819,14308
19319,13709
18571,13709
19053,13709
19055,13709
18823,13709
19487,13709
19579,13709
19526,13709
19591,13709
19157,13709
19365,13709
19431,13709
19490,13709
19205,13709
18742,13709
19013,13709
19488,13709
19156,13709
19453,13709
19911,13709
19279,13709
18829,13709
19269,13709
19011,13709
18734,13709
18515,13709
18243,13709
18669,13709
18881,13709
18489,13709
18669,13709
18355,13709
18270,13709
17969,13709
18231,13709
18496,13709
18252,13709
18442,13485
18069,13485
17903,13485
17840,13485
17842,13485
17529,13485
17227,13485
17655,13333
17446,13333
17495,13333
17866,13333
17826,13333
17438,13333
17924,13263
17715,13263
17853,13263
17720,13263
17205,13263
17496,13263
17281,13263
16941,13263
17349,13263
17052,13263
17445,13263
17424,13263
17344,13263
16905,13263
17737,13263
17385,13263
17295,13263
17345,13263
17463,13263
17358,13263
17134,13263
18183,13263
18025,13263
18676,13263
18047,13263
18210,13263
19028,13263
18840,13263
18666,13263
18519,13263
18414,13263
18342,13263
18154,13263
18403,13263
18556,13263
18732,13263
19051,13263
18797,13263
18603,13263
18468,13263
18556,13263
18790,13263
18952,13263
18491,13263
18361,13263
17952,13263
17555,13263
17731,13263
18041,13028
17482,13028
17028,13028
17489,13028
18021,13028
18074,13028
17846,13028
17400,13028
17689,13028
16913,13028
16967,13028
16793,13028
16775,13028
16597,12613
16729,12613
17574,12613
18234,12613
