averageFitness,bestFitness
30716,25790
29057,25775
27745,25624
27194,24860
26451,24161
25861,22750
25470,22076
24502,22076
23552,22076
22860,21565
22333,20812
22075,20500
21854,20500
21543,20284
20928,20137
20780,19971
20618,19807
20530,19449
20300,19275
20203,19078
20084,19078
19779,18588
19464,18588
19322,18468
19037,17725
18714,17725
18524,17565
18349,17560
18060,17004
18065,17004
17851,16782
17767,16729
17536,16568
17445,16055
17073,16055
17261,15951
16913,15780
16536,15710
16346,14727
16156,14597
15936,14562
15531,14374
14925,14357
14684,14357
14686,14039
14526,14039
14547,13714
14562,13714
14482,13711
14132,13584
13982,13584
13911,13557
13954,13483
13985,13427
13884,13224
13852,13224
13706,13224
13619,13224
13566,13224
13561,12931
13522,12931
13535,12683
13580,12683
13359,12601
13134,11996
12981,11996
12810,11996
12581,11996
12369,11975
12194,11844
12215,11844
12326,11755
12321,11755
12304,11755
12093,11563
12261,11563
12188,11563
12118,11547
12037,11547
11919,11547
11968,11456
12049,11456
11792,11456
11771,11456
11782,11370
11636,11369
11627,11369
11633,11291
11671,11291
11731,11291
11507,11291
11491,11287
11519,11287
11463,11149
11466,11070
11504,11070
11415,11070
11384,11070
11294,11045
11400,10979
11417,10876
11403,10804
11440,10804
11307,10804
11097,10804
11038,10741
11012,10741
11024,10658
10980,10658
11075,10658
10975,10658
10936,10580
10855,10580
10846,10580
10819,10524
10896,10524
10843,10400
11071,10400
10954,10317
10899,10317
10598,10317
10628,10234
10768,10234
10708,10234
10711,10234
10498,10234
10606,10234
10567,10141
10402,10103
10459,10103
10611,10103
10506,10016
10437,10016
10307,10016
10184,10016
10268,10016
10297,10016
10149,10016
10193,10016
10172,9937
10232,9937
10188,9922
10230,9922
10142,9843
10191,9823
10190,9823
10000,9823
10142,9823
10001,9821
10064,9821
10026,9788
10020,9788
10083,9788
10105,9650
10032,9650
10112,9583
10058,9583
9904,9583
9816,9583
9780,9583
9774,9583
9825,9576
9769,9576
9829,9576
9806,9575
9829,9541
9760,9541
9840,9541
9767,9541
9780,9541
9731,9541
9790,9541
9738,9487
9766,9487
9730,9487
9751,9487
9825,9420
9803,9420
9740,9420
9770,9420
9684,9406
9656,9348
9669,9348
9610,9348
9617,9348
9588,9348
9564,9317
9570,9317
9544,9317
9578,9317
9560,9317
9525,9162
9521,9162
9490,9162
9499,9162
9495,9162
9398,9110
9384,9110
9402,9110
9405,9110
9383,9110
9296,9110
9382,9110
9302,9110
9364,9110
9374,9110
9347,9080
9298,9080
9361,9080
9445,9080
9368,9064
9289,9064
9275,9064
9283,9064
9345,9064
9312,9064
9229,9064
9253,9064
9284,8952
9305,8952
9311,8952
9249,8952
9136,8952
9208,8952
9214,8952
9258,8952
9202,8952
9158,8952
9183,8952
9169,8952
9155,8912
9172,8912
9244,8912
9191,8912
9346,8878
9235,8878
9312,8878
9244,8878
9057,8878
9108,8878
9092,8878
9078,8878
9104,8845
9074,8845
9166,8845
9225,8845
9154,8845
9219,8845
9019,8845
9018,8845
9038,8845
9147,8845
9105,8845
9045,8845
9043,8845
9052,8845
9088,8845
9014,8845
9104,8834
9028,8660
9072,8660
9029,8658
9094,8648
8939,8648
8883,8648
8834,8648
8906,8648
8835,8648
8800,8648
8938,8648
8847,8648
8888,8648
8855,8648
8882,8648
8866,8648
8964,8648
8918,8648
8971,8648
8874,8648
8915,8648
8918,8648
8861,8648
8874,8648
8863,8648
8872,8648
8943,8648
8878,8648
8873,8648
8879,8648
8818,8648
8815,8648
8939,8648
8859,8648
8850,8648
8779,8648
8901,8648
8841,8648
8869,8648
8884,8648
8798,8648
8845,8648
8817,8648
8932,8648
8914,8648
8848,8648
8852,8648
8861,8648
8902,8648
8888,8648
8840,8648
8848,8648
8824,8575
8978,8575
8784,8575
8849,8575
8807,8575
8863,8575
8812,8575
8735,8575
8822,8575
8816,8575
8840,8575
8794,8575
8696,8575
8845,8575
8832,8575
8797,8575
8793,8575
8840,8575
8850,8575
8808,8575
8757,8575
8808,8575
8861,8575
8820,8575
8755,8575
8751,8575
8757,8575
8803,8575
8750,8575
8776,8575
8805,8575
8856,8575
8743,8575
8837,8575
8775,8575
8763,8575
8766,8575
8782,8575
8764,8575
8798,8575
8803,8575
8761,8575
8828,8575
8811,8575
8811,8575
8773,8575
8833,8575
8772,8575
8824,8575
8831,8575
8759,8575
8828,8575
8799,8575
8814,8575
8761,8575
8874,8575
8808,8575
8788,8575
8778,8575
8774,8575
8803,8575
8792,8575
8724,8575
8814,8575
8794,8575
8833,8575
8772,8575
8742,8575
8778,8575
8808,8575
8790,8575
8752,8575
8844,8575
8828,8575
8777,8575
8776,8575
8801,8575
8891,8575
8774,8575
8780,8575
8812,8575
8857,8575
8786,8575
8842,8575
8775,8575
8825,8575
8744,8575
8799,8575
8773,8575
8811,8575
8811,8575
8838,8575
8823,8575
8812,8575
8757,8575
8693,8575
8817,8575
8778,8575
8805,8575
8783,8575
8780,8575
8779,8575
8831,8575
8855,8575
8817,8575
8784,8575
8789,8575
8754,8575
8824,8575
8730,8575
8801,8575
8835,8575
8845,8575
8804,8575
8776,8575
8781,8575
8863,8575
8817,8575
8872,8575
8745,8575
8788,8575
8841,8575
8794,8575
8786,8575
8815,8575
8796,8575
8870,8575
8786,8575
8814,8575
8759,8575
8831,8575
8834,8575
8843,8575
8791,8575
8784,8575
8745,8575
8819,8575
8747,8575
8757,8575
8869,8575
8808,8575
8776,8575
8873,8575
8796,8575
8802,8575
8795,8575
8825,8575
8793,8575
8748,8575
8812,8575
8800,8575
8859,8575
8816,8575
8769,8575
8858,8575
8785,8575
8774,8575
8741,8575
8829,8575
8798,8575
8822,8575
8775,8575
8836,8575
8898,8575
8761,8575
8754,8575
8863,8575
8833,8575
8734,8575
8761,8575
8816,8575
