averageFitness,bestFitness
30381,26227
28407,26227
27230,26227
26540,26214
26248,25977
26194,24795
26077,24795
25779,24766
25244,24357
24824,24357
24749,24287
24580,23455
24338,23455
24124,23455
23750,23210
23474,22399
23415,22399
23192,22228
22776,22228
22413,21728
22309,21728
22203,21728
22072,21598
21811,21002
21720,21002
21611,21002
21408,20970
21126,20548
21006,20548
20886,20495
20699,20495
20577,19676
20469,19615
20312,19615
19886,19571
19682,19571
19705,19571
19644,19308
19607,19308
19575,19308
19480,19056
19346,19056
19353,19056
19323,19056
19310,19056
19290,19056
19256,18195
19131,18195
18985,17907
18629,17715
18208,17715
18046,17715
17761,17665
17750,17665
17761,17665
17702,17250
17671,17250
17586,17250
17360,17250
17277,17250
17317,17058
17270,17058
17255,16687
17237,16687
17084,16687
16813,16687
16714,16687
16695,16372
16687,16372
16660,16372
16576,16319
16415,16319
16460,16004
16437,16004
16277,16004
16170,15982
16046,15946
16018,15946
16052,15946
16029,15807
16030,15807
15966,15807
16074,15677
15921,14969
15834,14969
15726,14969
15603,14969
15098,14969
15006,14895
14993,14895
14968,14843
14940,14843
14931,14829
14947,14627
14923,14579
14868,14579
14713,14388
14702,14388
14637,14231
14563,14231
14423,14200
14377,14174
14301,14025
14276,13889
14210,13889
14178,13889
14056,13543
13893,13543
13899,13434
13748,13434
13544,13434
13470,13434
13479,13434
13493,13432
13472,13326
13486,13300
13433,12831
13411,12831
13292,12831
13182,12831
12966,12831
12854,11939
12830,11939
12690,11939
12345,11602
12035,11602
11950,11602
11904,11602
11716,11602
11640,11584
11624,11576
11625,11576
11640,11576
11621,11542
11626,11542
11636,11516
11597,11482
11618,11482
11556,11482
11596,11482
11524,11414
11505,11414
11522,11414
11500,11414
11447,11414
11435,11182
11463,11182
11409,10817
11272,10817
11177,10817
11056,10817
10870,10817
10831,10817
10830,10817
10842,10817
10852,10726
10866,10726
10866,10677
10813,10677
10809,10677
10755,10677
10722,10336
10685,10336
10692,10336
10564,10336
10379,10247
10370,10247
10403,10247
10439,10247
10293,10247
10281,10247
10282,10247
10312,10247
10319,10204
10317,10146
10285,10146
10259,10146
10266,10120
10185,9714
10169,9714
10167,9714
9938,9714
9766,9700
9766,9700
9825,9700
9755,9700
9764,9700
9760,9700
9776,9627
9751,9627
9735,9627
9677,9627
9669,9627
9707,9596
9699,9596
9654,9596
9639,9596
9649,9596
9659,9596
9661,9596
9633,9596
9627,9596
9665,9596
9624,9596
9665,9515
9636,9515
9632,9515
9597,9515
9584,9491
9563,9491
9561,9491
9573,9491
9554,9491
9541,9491
9530,9491
9521,9491
9554,9480
9508,9480
9520,9480
9551,9480
9576,9480
9528,9480
9535,9460
9524,9446
9505,9446
9521,9446
9540,9427
9494,9427
9497,9427
9473,9427
9491,9427
9490,9332
9498,9302
9462,9302
9405,9302
9382,9302
9348,9302
9345,9302
9350,9302
9342,9302
9340,9302
9332,9302
9383,9302
9370,9302
9366,9302
9335,9302
9363,9302
9358,9302
9322,9302
9345,9302
9321,9302
9338,9205
9313,9205
9349,9205
9266,9205
9295,9205
9252,9205
9241,9205
9260,9205
9232,9173
9239,9173
9241,9173
9217,9173
9237,9173
9187,9173
9208,9173
9227,9173
9268,9173
9223,9173
9210,9173
9207,9173
9217,9173
9195,9173
9215,9173
9207,9173
9206,9173
9216,9173
9211,9173
9219,9173
9212,9173
9218,9173
9226,9173
9227,9173
9183,9173
9236,9173
9186,9173
9226,9173
9211,9173
9233,9173
9226,9173
9232,9173
9220,9173
9267,9173
9200,9173
9246,9173
9197,9173
9205,9173
9223,9173
9214,9153
9216,9153
9191,9153
9236,9153
9192,9153
9174,9153
9189,9153
9199,9153
9193,9103
9214,9103
9173,9103
9159,9103
9148,9103
9160,9103
9137,9103
9174,9103
9131,9103
9144,9103
9123,9103
9176,9103
9134,9103
9135,9103
9174,9103
9198,9077
9144,9077
9191,9077
9143,9077
9136,9077
9167,9077
9138,9077
9129,9077
9115,9077
9133,9077
9098,9077
9107,9077
9125,9077
9123,9077
9126,9077
9134,9077
9133,9077
9148,9077
9114,9077
9134,9077
9107,9077
9113,9077
9120,9077
9105,9077
9138,9077
9147,9077
9123,9077
9136,9077
9133,9077
9160,9077
9106,9077
9090,9077
9135,9077
9103,9077
9148,9077
9115,9077
9129,9076
9080,9076
9118,9042
9140,9042
9133,9042
9110,9042
9080,9042
9134,9042
9113,9042
9075,9042
9123,9042
9069,9042
9091,9042
9081,9042
9095,9042
9069,9042
9071,9042
9058,9042
9098,8983
9080,8983
9091,8983
9057,8983
9007,8983
9026,8983
9027,8983
9060,8983
9023,8983
9029,8983
9038,8983
9033,8983
9051,8983
9034,8983
9037,8983
9023,8983
9038,8983
9031,8983
9012,8983
9034,8983
9029,8983
9084,8983
9031,8983
9008,8983
9033,8983
9067,8983
9032,8983
9038,8983
9024,8983
9042,8983
9009,8983
9018,8983
9031,8983
9045,8983
9033,8983
9018,8983
9080,8983
9020,8983
9018,8983
9012,8983
9024,8983
9031,8983
9048,8983
9007,8983
9009,8983
9028,8983
9056,8983
9078,8983
9005,8983
9014,8983
9024,8974
9015,8974
9020,8974
9001,8974
9025,8974
9019,8974
9029,8974
9041,8974
8995,8974
9004,8974
9006,8974
9035,8974
9005,8974
9024,8974
9000,8974
9002,8974
9025,8974
9018,8974
9021,8974
9016,8974
8995,8974
9019,8974
8991,8974
9038,8974
9018,8974
9001,8974
9027,8974
9007,8974
9016,8974
9004,8974
9020,8974
9026,8974
9009,8974
9023,8974
8995,8974
9003,8974
9039,8974
9058,8974
9007,8974
8983,8974
9023,8974
9014,8974
9033,8974
9033,8974
9026,8899
9044,8899
8999,8899
8990,8899
8966,8899
8928,8899
8962,8870
8970,8870
8972,8870
8924,8870
8921,8870
8911,8870
8893,8870
8922,8870
8919,8870
8920,8870
8908,8870
8944,8870
8890,8870
8921,8870
8907,8870
8889,8870
8915,8870
8929,8870
8898,8870
8910,8870
8922,8870
8930,8870
8918,8870
8897,8870
8885,8870
8907,8870
8921,8870
8914,8870
8919,8870
8902,8870
8903,8870
8954,8870
8895,8870
8893,8870
8913,8870
8908,8870
8945,8870
8926,8870
8881,8870
8917,8870
8899,8798
8943,8798
8895,8798
8853,8798
8842,8798
8838,8798
8820,8798
8838,8798
8845,8798
8854,8798
8810,8798
8876,8798
8815,8798
8881,8798
8868,8798
8845,8798
8854,8798
8857,8798
8837,8798
8841,8798
8848,8798
8857,8798
8845,8798
8850,8798
8868,8798
8852,8798
8861,8798
8834,8798
8857,8798
8852,8798
8842,8798
8862,8798
8822,8798
8831,8798
8848,8798
8847,8798
8848,8798
8844,8798
8885,8798
8814,8798
8837,8798
8869,8798
8813,8798
8865,8798
8834,8798
8856,8798
8856,8798
8871,8798
8848,8798
8823,8798
8855,8798
8822,8798
8844,8798
8847,8798
8849,8798
8847,8798
8850,8798
8881,8798
8854,8798
8898,8798
8814,8798
8867,8798
8819,8798
8829,8798
8844,8798
8851,8798
8864,8798
8855,8798
8829,8798
8811,8798
8818,8798
8838,8798
8832,8798
8842,8798
8847,8798
8824,8798
8847,8798
8835,8798
8853,8798
8887,8798
8881,8798
8832,8798
8857,8798
8861,8798
8855,8798
8851,8798
8834,8798
8857,8798
8838,8798
8813,8798
8857,8798
8846,8798
8840,8798
8863,8798
8881,8798
8884,8798
8849,8798
8808,8798
8826,8798
8827,8798
8826,8798
8881,8798
8843,8798
8837,8798
8836,8798
8841,8798
8853,8798
8855,8798
8829,8798
8863,8798
8843,8798
8836,8798
8849,8798
8843,8798
8839,8798
8831,8798
8847,8798
8834,8798
8849,8798
8863,8798
8847,8798
8843,8798
8839,8798
8840,8798
8849,8798
8813,8798
8831,8798
8853,8798
8858,8798
8880,8798
8832,8798
8837,8798
8841,8798
8856,8798
8847,8798
8837,8798
8824,8798
8805,8798
8860,8798
8878,8798
8848,8798
8840,8798
8863,8798
8879,8798
8847,8798
8821,8798
8848,8798
8819,8798
8833,8798
8849,8798
8834,8798
8851,8798
8860,8798
8833,8798
8847,8798
8852,8798
8860,8798
8822,8798
