averageFitness,bestFitness,
30782,25634,
29371,25634,
28669,24955,
27935,24597,
27187,23496,
26407,22690,
25738,22387,
24953,21617,
24121,21617,
23651,21353,
23175,20708,
22861,19743,
22261,19743,
21553,19743,
21106,19510,
20653,18662,
20206,18417,
19693,18417,
19461,18277,
19266,18240,
19113,18197,
18629,18128,
18648,17669,
18534,17629,
18324,17428,
18557,17428,
18309,17297,
17959,17239,
17698,16887,
17373,16489,
17252,16474,
17131,16474,
16976,15757,
16959,15757,
17099,15757,
16807,15409,
16555,15409,
16377,15409,
16143,15409,
16128,15409,
16214,15382,
16098,15382,
15576,15280,
15497,15273,
15605,15119,
15484,15036,
15423,15036,
15371,14909,
15408,14569,
15442,14569,
15274,14569,
15331,13512,
15597,13494,
14935,13494,
14956,13442,
14703,13274,
14401,13274,
13712,13258,
13413,13100,
13375,12943,
13452,12943,
13303,12753,
13202,12753,
13157,12405,
12984,12244,
12830,12218,
12605,12216,
12397,12041,
12290,11519,
12196,11513,
12075,11513,
12031,11511,
11866,11404,
11680,11404,
11634,11402,
11654,11402,
11554,11304,
11546,11286,
11445,11286,
11412,11286,
11355,11286,
11368,11286,
11354,11157,
11355,11025,
11363,11025,
11301,11025,
11276,11025,
11339,10908,
11450,10908,
11222,10908,
11216,10908,
11180,10902,
11147,10778,
11216,10778,
11290,10726,
11154,10726,
10931,10726,
10798,10591,
10807,10591,
10845,10499,
10820,10499,
10859,10499,
10896,10433,
10634,10404,
10612,10404,
10590,10338,
10529,10338,
10548,10338,
10438,10338,
10409,10338,
10447,10338,
10369,10338,
10415,10338,
10404,10288,
10460,10288,
10415,10288,
10441,10288,
10334,10288,
10348,10288,
10339,10288,
10367,10288,
10467,10288,
10378,10288,
10334,10288,
10367,10288,
10395,10288,
10350,10001,
10353,10001,
10334,10001,
10268,10001,
10125,10001,
10073,10001,
10103,10001,
10049,10001,
10087,10001,
10045,10001,
10122,10001,
10102,9991,
10124,9991,
10076,9991,
10105,9991,
10108,9991,
10102,9960,
10058,9940,
10082,9932,
10070,9772,
10055,9763,
10050,9422,
9968,9422,
9890,9422,
9880,9375,
9777,9375,
9747,9375,
9600,9375,
9535,9375,
9444,9375,
9516,9375,
9495,9375,
9478,9375,
9485,9375,
9501,9375,
9460,9375,
9522,9375,
9436,9375,
9459,9375,
9470,9375,
9466,9375,
9447,9286,
9459,9286,
9465,9240,
9433,9240,
9555,9152,
9433,9152,
9421,9152,
9307,9152,
9232,9132,
9250,9132,
9212,9132,
9262,9132,
9263,9132,
9264,9132,
9271,9132,
9207,9132,
9254,9058,
9215,9058,
9232,9058,
9192,9058,
9171,9058,
9164,9058,
9164,9058,
9175,9058,
9147,9058,
9218,9058,
9182,9058,
9157,9058,
9147,8990,
9171,8990,
9136,8990,
9133,8990,
9065,8990,
9097,8990,
9116,8990,
9061,8990,
9065,8990,
9123,8990,
9119,8981,
9050,8981,
9049,8981,
9063,8981,
9048,8946,
9103,8946,
9035,8937,
9057,8937,
9059,8937,
9026,8937,
9022,8937,
9002,8918,
9084,8918,
9028,8918,
9023,8901,
9053,8901,
9064,8901,
9029,8901,
9000,8901,
8981,8901,
9001,8901,
8975,8901,
8994,8901,
8986,8901,
9022,8901,
9038,8901,
8948,8901,
8973,8901,
8994,8901,
9044,8901,
9022,8901,
9004,8901,
8988,8873,
8983,8873,
9017,8873,
8994,8873,
9050,8873,
9044,8873,
8945,8873,
8979,8873,
8994,8873,
8953,8873,
8996,8873,
8959,8873,
8962,8818,
8990,8818,
9013,8818,
8967,8818,
8973,8818,
8986,8818,
8982,8818,
8923,8818,
8995,8818,
8957,8818,
8976,8818,
8935,8818,
8951,8818,
8937,8818,
8899,8818,
8922,8818,
8943,8818,
8910,8818,
8925,8818,
8976,8818,
8990,8818,
8932,8818,
8944,8808,
8934,8808,
8947,8808,
8951,8808,
8909,8808,
8958,8808,
8873,8808,
8916,8808,
8902,8808,
8880,8808,
8880,8808,
8953,8752,
8935,8752,
8970,8752,
8890,8752,
8900,8752,
8852,8752,
8881,8752,
8833,8752,
8867,8752,
8854,8752,
8875,8752,
8800,8752,
8835,8752,
8844,8752,
8842,8752,
8817,8752,
8821,8752,
8846,8752,
8827,8752,
8870,8752,
8841,8752,
8862,8752,
8833,8752,
8860,8752,
8853,8752,
8858,8752,
8835,8752,
8859,8752,
8847,8752,
8811,8752,
8808,8752,
8847,8752,
8805,8752,
8820,8752,
8878,8752,
8869,8752,
8904,8752,
8840,8752,
8827,8752,
8831,8752,
8818,8752,
8835,8752,
8882,8752,
8840,8752,
8814,8752,
8851,8752,
8846,8752,
8856,8752,
8819,8752,
8856,8752,
8827,8752,
8862,8752,
8849,8752,
8853,8752,
8868,8752,
8854,8752,
8821,8752,
8890,8752,
8831,8752,
8829,8752,
8872,8752,
8817,8752,
8844,8752,
8814,8752,
8871,8752,
8817,8752,
8851,8752,
8866,8752,
8876,8752,
8824,8752,
8824,8752,
8822,8752,
8831,8752,
8821,8752,
8830,8752,
8870,8752,
8859,8752,
8809,8752,
8895,8752,
8837,8752,
8839,8752,
8829,8752,
8871,8752,
8811,8752,
8844,8752,
8845,8752,
