averageFitness,bestFitness
30623,26607
29843,24485
29514,24485
29325,24485
29381,24485
29287,24485
29254,24485
29111,24485
29097,23458
29141,22919
28634,22919
28126,22919
27499,22919
27103,22617
26224,20281
25785,20281
25625,20281
24879,20281
24487,20281
24150,19801
24057,19786
23895,19786
23454,19786
23073,19679
22948,19335
22720,17920
22269,17920
22093,17920
21852,17920
21766,17920
21849,17920
21379,17920
21099,17340
21092,16719
20966,16719
20875,16719
20430,16719
20277,16719
20057,16719
19920,16718
19851,16718
19661,16585
19327,16132
19261,15965
18574,15656
18251,15058
18199,15058
18126,15058
17696,14546
17222,14290
16969,14290
17046,14244
16899,14244
16568,13634
16786,13515
16351,13515
15880,13515
15478,13515
15225,12787
15307,12787
15176,12722
14377,12722
14213,12530
14171,12209
13915,11887
13420,11887
13198,11679
12751,11673
12552,11673
12421,11480
12720,11299
12466,11299
11790,11132
11708,11073
11420,10894
11306,10894
11313,10827
11029,10820
11025,10808
10934,10808
10956,10791
11063,10790
10907,10790
10918,10790
10912,10777
11153,10777
10868,10674
11666,10674
10870,10674
10876,10674
10838,10674
10860,10674
10900,10674
11277,10674
10905,10674
10924,10674
10970,10674
11009,10674
10863,10674
10863,10674
10896,10674
11268,10674
10868,10674
10903,10674
10868,10674
10875,10623
10973,10623
11202,10623
10938,10623
10889,10623
10864,10623
10810,10623
10946,10623
10851,10623
10823,10623
10792,10516
10875,10516
10847,10516
10806,10516
10789,10516
11015,10516
10783,10516
11554,10516
11101,10516
11072,10516
10897,10516
10782,10516
10824,10516
10805,10516
10803,10516
10878,10516
10853,10516
10724,10516
10597,10516
10648,10516
10677,10516
10964,10516
10685,10516
10667,10516
10619,10516
10612,10384
11375,10384
10645,10384
10623,10384
10632,10384
10610,10384
10620,10384
10652,10384
10607,10384
10612,10384
10590,10384
10658,10384
10694,10384
11091,10242
11321,10237
10698,10237
10443,10237
10443,10237
10392,10237
10397,10237
10900,10237
10452,10237
10440,10237
10521,10237
10407,10237
10477,10237
10516,10237
10684,10237
10391,10237
10421,10237
10423,10237
10447,10237
10418,10237
10459,10213
10473,10213
10399,10213
10418,10213
10452,10213
10467,10213
10380,10213
10418,10212
11172,10212
10397,10212
10418,10212
10427,10212
10447,10212
10432,10212
10413,10212
10444,10212
10511,10212
10424,10212
10425,10212
10444,10212
10444,10212
10434,10212
10461,10212
10416,10212
10447,10212
10418,10212
10525,10212
10433,10212
10862,10212
10452,10212
10408,10190
10814,10190
10468,10190
10430,10190
10428,10190
10419,10190
10445,10190
10437,10190
10397,10190
10437,10190
10377,10190
10386,10190
10376,10190
10296,10190
10329,10190
10330,10190
10351,10190
10299,10190
10293,10190
10318,10190
10257,10190
10263,10190
10275,10190
10574,10190
10258,10190
10262,10190
10304,9995
10662,9995
10388,9995
10320,9995
10269,9995
10276,9995
10296,9995
10255,9995
10286,9995
10271,9995
10288,9995
10287,9995
10384,9995
10266,9995
10232,9995
10321,9995
10239,9995
10279,9995
10959,9995
10294,9995
10315,9995
10248,9995
10254,9995
10305,9995
10281,9995
10268,9995
10305,9995
10305,9995
10484,9995
10914,9995
11398,9995
10364,9995
10356,9995
10252,9995
10269,9995
10283,9995
10365,9995
10317,9995
10340,9995
10320,9995
10281,9995
10305,9995
10282,9995
10420,9995
10265,9995
10251,9995
10316,9995
10296,9995
10331,9995
10364,9995
10325,9995
10336,9995
10342,9995
10388,9995
10381,9915
10610,9915
10156,9915
10178,9915
10140,9915
10416,9915
10149,9915
10138,9915
10159,9915
10161,9915
10142,9915
10145,9914
10846,9914
10129,9914
10226,9914
10332,9914
10160,9914
10179,9914
10134,9914
10133,9914
10188,9914
10137,9914
10151,9914
10144,9914
10287,9914
10138,9914
10147,9914
10172,9914
10157,9914
10140,9914
10198,9914
10126,9914
10157,9914
10163,9914
10174,9914
10410,9914
10133,9914
10317,9914
10172,9914
10271,9914
10690,9914
10124,9914
10138,9914
10104,9914
10126,9914
10181,9914
10150,9914
10161,9914
10149,9914
10173,9914
