averageFitness,bestFitness
30485,25730
29086,25641
27760,23703
27147,23703
26273,23545
25575,22356
25126,22097
24451,22097
24059,21497
23690,20112
22905,20112
22495,19924
21761,18845
20748,18549
19691,18425
19034,18288
18757,18049
18601,17794
18470,17660
18133,16989
17922,16989
17647,16989
17362,16962
17171,16885
17042,16850
16957,16625
16905,16625
16805,16457
16658,16377
16564,16345
16458,16327
16403,16327
16375,16327
16346,16230
16354,15907
16395,15780
16386,15454
16343,15356
15865,15240
15695,15230
15501,14894
15233,14894
15058,14820
14904,14750
14836,14697
14876,14697
14910,14686
14863,14653
14830,14567
14885,14560
14820,14427
14750,14427
14602,14427
14601,14427
14546,14341
14448,14341
14446,14341
14444,14158
14389,14158
14321,13949
14278,13949
14170,13949
14098,13949
13964,13949
13949,13949
13949,13949
13948,13804
13969,13804
13926,13803
13878,13803
13813,13789
13884,13676
13865,13676
13872,13676
13792,13529
13685,13529
13666,13529
13644,13529
13557,13529
13553,13529
13529,13470
13528,13470
13553,13399
13528,13395
13465,13395
13466,13395
13415,13395
13410,13395
13396,13395
13400,13395
13403,13395
13413,13395
13395,13395
13395,13395
13397,13395
13397,13395
13398,13395
13395,13395
13396,13395
13395,13395
13401,13395
13402,13395
13413,13395
13397,13395
13395,13395
13411,13395
13395,13395
13403,13287
13416,13287
13574,13287
13653,13287
13587,13287
13685,13287
13287,13287
13291,13287
13295,13287
13287,13287
13289,13287
13287,13287
13289,13287
13287,13287
13297,13287
13287,13287
13287,13287
13291,13287
13286,13261
13307,13261
13338,13261
13320,13261
13343,12988
13250,12988
13236,12988
13118,12988
12997,12988
12988,12988
12988,12988
12988,12988
12988,12988
13004,12988
12997,12988
12990,12988
12988,12988
12993,12988
12989,12988
12988,12988
12997,12988
12988,12988
12988,12988
12987,12882
12986,12882
12979,12882
12953,12882
12898,12882
12882,12834
12883,12834
12891,12716
12962,12716
12936,12683
12901,12683
12882,12683
12938,12666
12931,12666
12841,12666
12813,12495
12725,12495
12785,12495
12830,12495
12826,12495
12693,12495
12509,12469
12520,12469
12554,12469
12520,12469
12526,12469
12469,12469
12485,12469
12487,12469
12476,12469
12468,12387
12612,12387
12528,12376
12593,12376
12590,12376
12624,12376
12408,12376
12381,12352
12375,12352
12375,12352
12374,12352
12362,12352
12353,12352
12359,12352
12356,12352
12355,12352
12371,12352
12352,12352
12366,12352
12364,12352
12358,12247
12351,12247
12348,12247
12347,12247
12293,12247
12249,12247
12247,12247
12254,12247
12253,12247
12247,12247
12253,12247
12249,12247
12247,12247
12253,12212
12247,12212
12249,12212
12253,12212
12239,12212
12228,12212
12212,12212
12243,12212
12217,12212
12224,12212
12216,12212
12214,12212
12235,12212
12212,12212
12217,12212
12212,12212
12231,12212
12220,12212
12230,12212
12226,12212
12213,12212
12212,12212
12228,12212
12215,12212
12224,12212
12218,12212
12212,12212
12225,12212
12236,12212
12219,12212
12227,12212
12220,12212
12212,12212
12212,12212
12216,12212
12218,12212
12225,12212
12212,12212
12216,12212
12212,12212
12221,12212
12212,12212
12220,12212
12214,12212
12213,12212
12212,12212
12212,12212
12212,12212
12230,12212
12211,12149
12240,12149
12215,12149
12238,12149
12248,12149
12175,12149
12180,12149
12154,12149
12150,12149
12150,12149
12163,12149
12150,12149
12150,12149
12155,12149
12156,12149
12155,12149
12154,12149
12152,12149
12150,12149
12152,12149
12152,12149
12150,12149
12158,12149
12150,12149
12158,12149
12159,12149
12153,12149
12150,12149
12154,12149
12157,12149
12168,12149
12183,12149
12150,12044
12146,12044
12152,12044
12106,12044
12058,12044
12044,12044
12064,12044
12044,12044
12051,12044
12044,12044
12049,12044
12055,12044
12048,12044
12044,12044
12050,12044
12055,12044
12048,12044
12044,12044
12053,12044
12044,12044
12059,12044
12044,12044
12045,12044
12044,12044
12044,12044
12044,12044
12044,12044
12067,12044
12044,12044
12044,12044
12078,12044
12045,12044
12044,12044
12062,12044
12044,12044
12055,12044
12043,12015
12048,12015
12052,12015
12041,12015
12016,12015
12016,12015
12015,12015
12015,12015
12015,12015
12028,12015
12015,12015
12026,12015
12015,12015
12024,12015
12023,12015
12023,12015
12022,12015
12015,12015
12015,12015
12016,12015
12024,12015
12015,12015
12015,12015
12028,12015
12016,12015
12018,12015
12027,12015
12022,12015
12029,12015
12031,12015
12022,12015
12028,11984
12013,11984
12014,11984
11992,11984
11990,11984
11990,11984
11984,11984
11998,11984
11986,11984
11987,11984
11984,11984
11984,11984
12005,11984
11990,11984
11997,11984
11984,11984
11984,11984
11984,11984
11989,11984
11986,11984
11988,11984
11999,11921
12022,11921
12040,11896
12089,11896
12041,11896
12011,11896
11924,11896
11896,11896
11898,11896
11906,11896
11908,11896
11899,11896
11903,11896
11900,11896
11896,11896
11902,11896
11904,11896
11912,11896
11902,11896
11896,11896
11898,11896
11904,11896
11897,11896
11912,11896
11897,11896
11896,11896
11896,11896
11909,11896
11896,11896
11896,11896
11919,11896
11902,11896
11898,11896
11897,11896
11902,11896
11924,11896
11907,11896
11907,11882
11923,11882
12012,11882
12169,11882
12050,11882
11882,11882
11903,11882
11882,11882
11882,11882
11882,11882
11882,11882
11885,11882
11888,11882
11882,11882
11885,11882
11882,11882
11882,11882
11882,11882
11886,11882
11890,11882
11888,11882
11882,11882
11882,11882
11882,11882
11884,11882
11897,11882
11895,11882
11892,11882
11889,11882
11882,11882
11882,11882
11896,11882
11882,11882
11882,11882
11906,11882
11882,11882
11899,11882
11882,11882
11891,11882
11888,11882
11885,11882
11893,11882
11898,11882
11882,11882
11892,11882
11882,11882
11882,11882
11887,11882
11884,11882
11894,11882
11893,11882
11882,11882
11892,11882
11896,11882
11882,11882
11889,11882
11894,11882
11884,11882
11882,11882
11883,11882
11896,11882
11885,11882
11886,11882
11890,11882
11882,11882
11882,11882
11882,11882
11887,11882
11882,11882
11882,11882
11882,11882
11882,11882
11894,11882
11882,11882
11892,11882
11889,11882
11883,11882
11885,11882
11895,11882
11882,11882
