averageFitness,bestFitness
30490,26803
29658,25270
29158,23620
28722,23620
28211,23620
27902,23620
27563,23620
27090,21068
26256,21068
25594,21068
24151,21068
23684,21068
23637,21068
22976,21068
22513,20993
22199,20439
21922,20099
21781,19724
21505,19724
21336,19214
21212,19029
21130,19029
20844,18301
20688,18301
20096,17963
19381,17963
18706,17843
18525,17695
18447,17695
18367,17662
18096,17662
17854,17583
17876,17550
17765,17550
17605,17327
17563,17327
17596,17224
17592,17205
17427,17204
17276,17204
17216,17204
17206,17204
17215,17153
17518,17153
17213,17153
17209,17153
17204,17153
17204,17153
17204,17153
17204,17153
17218,17153
17214,17153
17213,17153
17204,17153
17204,17153
17208,17153
17204,17153
17204,17153
17204,17153
17210,17153
17209,17153
17204,17153
17214,17153
17204,17153
17204,17153
17204,17153
17204,17153
17208,17153
17204,17153
17204,17153
17208,17153
17210,17153
17206,17153
17203,17104
17264,17104
17204,17104
17210,17104
17209,17104
17204,17104
17200,16607
17416,16607
17450,16607
17454,16607
18216,16607
18312,16607
17937,16607
16840,16607
16611,16607
16607,16607
16607,16607
16607,16607
16607,16607
16607,16607
16605,16456
16602,16456
16588,16456
16519,16456
16461,16456
16456,16456
16458,16456
16462,16456
16457,16456
16456,16456
16462,16456
16457,16456
16463,16456
16461,16456
16465,16456
16460,16456
16459,16456
16456,16456
16471,16456
16456,16456
16468,16456
16471,16456
16467,16456
16456,16456
16465,16456
16463,16456
16473,16456
16470,16456
16456,16456
16459,16293
16578,16293
16560,16293
16700,16293
16585,16293
16586,16293
16718,16293
16865,16293
16901,16293
16867,16293
16583,16293
16293,16293
16296,16293
16293,16293
16308,16293
16295,16293
16296,16293
16293,16293
16293,16293
16293,16293
16293,16293
16294,16293
16296,16293
16293,16293
16299,16293
16297,16282
16353,16282
16350,16282
16302,16282
16293,16282
16293,16282
16296,16282
16293,16282
16296,16282
16298,16282
16519,16282
16293,16282
16299,16282
16293,16282
16294,16282
16296,16282
16316,16282
16293,16282
16295,16282
16297,16282
16299,16282
16298,16282
16293,16282
16293,16282
16296,16282
16293,16282
16293,16282
16294,16282
16293,16282
16297,16282
16303,16282
16296,16282
16293,16282
16295,16270
16354,16233
16337,16233
16394,15878
16668,15866
16917,15866
17078,15866
16980,15866
16472,15722
16423,15722
16289,15722
16012,15722
15956,15606
16346,15606
15983,15606
15953,15606
15805,15606
15722,15606
15732,15606
15724,15606
15731,15606
15725,15606
15725,15606
15722,15606
15729,15606
15721,15606
15721,15606
15721,15606
15721,15606
15734,15606
15720,15606
15722,15606
15720,15606
15724,15606
15720,15606
15720,15606
15724,15606
15718,15573
16072,15573
16568,15573
16494,15573
17422,15573
17276,15573
17451,15573
15996,15573
15592,15573
15599,15573
15592,15573
15599,15573
15604,15460
15790,15460
16167,15460
16161,15460
16447,15460
16463,15460
16722,15460
16405,15439
15563,15439
16049,15439
16490,15439
16572,15439
16918,15439
17012,15420
18145,15420
17567,15420
15510,15420
15444,15126
15460,15126
15434,15118
15443,15118
15440,15118
15431,15078
15250,15078
15106,15078
15098,15078
15085,15078
15088,15078
15084,15078
15089,15050
15085,15050
15099,15050
15068,15050
15075,15050
15056,15050
15056,15050
15059,15050
15065,15050
15048,14850
15430,14850
15195,14850
15056,14850
15050,14850
15061,14850
15056,14850
15050,14850
15059,14850
15050,14850
15050,14850
15055,14850
15050,14850
15058,14850
15053,14850
15050,14850
15063,14850
15049,14850
15431,14850
15144,14850
15378,14850
15050,14850
15058,14850
15050,14850
15053,14850
15050,14850
15050,14850
15049,14850
15054,14850
15052,14850
15048,14850
15045,14850
15004,14850
14993,14850
14983,14850
14984,14850
14978,14850
14992,14850
14978,14850
14979,14850
14978,14850
14978,14850
14993,14850
14978,14850
14984,14850
14986,14850
14978,14850
14978,14850
14983,14850
14978,14850
14980,14850
14990,14850
14981,14850
14975,14661
15264,14661
15067,14661
14983,14661
14980,14661
14978,14661
14976,14158
15559,14158
15839,14158
15622,14158
17265,14158
16428,14158
17198,14158
18078,14158
17884,14158
16053,14158
14179,14130
14243,14130
14210,14045
14317,14045
14402,14045
14380,14045
14544,14045
14388,14045
14443,14045
14650,14045
15096,14045
14980,14045
15013,14045
14381,13850
14401,13850
14380,13850
14199,13850
14224,13850
14311,13850
14387,13840
14367,13840
13894,13840
13844,13840
13840,13840
13840,13840
13840,13840
13855,13840
13843,13840
13840,13840
13840,13840
13842,13840
13848,13840
13844,13840
13851,13840
13840,13840
13848,13840
13860,13840
13847,13840
13849,13840
13841,13840
13840,13840
13842,13840
13840,13840
13846,13840
13840,13840
13840,13840
13840,13840
13851,13840
13840,13840
13844,13840
13842,13840
13840,13840
13849,13840
13840,13840
13840,13840
13841,13840
13840,13840
13845,13840
13841,13840
13839,13836
13926,13836
13840,13836
13840,13836
13850,13836
13856,13836
13841,13836
13846,13836
13840,13836
13840,13836
13840,13836
13853,13836
13844,13836
13840,13836
13859,13836
13859,13836
13853,13836
13845,13836
13858,13836
13848,13836
13839,13804
13894,13804
13840,13804
13840,13804
13849,13804
13841,13804
13856,13804
13841,13804
13840,13804
13847,13804
13840,13804
13843,13804
13840,13804
13847,13804
13843,13804
13840,13804
13841,13804
13847,13804
13843,13804
13840,13804
13847,13804
13860,13804
13851,13804
13841,13804
13843,13804
13840,13804
13840,13804
13840,13804
13843,13804
13845,13804
13841,13804
13899,13804
13892,13804
14021,13802
14061,13739
14126,13641
14098,13349
14062,13349
13998,13349
13927,13349
14000,13349
13784,13349
13508,13349
13599,13349
13530,13349
13407,13349
13366,13349
13362,13349
13359,13349
13350,13349
13352,13349
13368,13349
13352,13349
13349,13349
13349,13349
13349,13349
13358,13349
13353,13349
13358,13349
13354,13349
13355,13349
13351,13349
13352,13349
13349,13349
13349,13349
13349,13349
13355,13349
13366,13349
13363,13349
13367,13349
13349,13349
13352,13349
13351,13349
13359,13349
13349,13349
13349,13349
13349,13349
13349,13349
13349,13349
13349,13349
13349,13349
13349,13349
13348,13241
13357,13241
13366,13241
13393,13241
13375,13241
13272,13241
13247,13241
13243,13241
13245,13241
13257,13241
13247,13241
13249,13097
13499,13097
13357,13097
13245,13097
13265,13097
13241,13097
13244,13097
13254,13097
13243,13097
13241,13097
13245,13097
13246,13097
13247,13097
13251,13097
13242,13097
13241,13097
13241,13097
13253,13097
13272,13097
13255,13097
13259,13097
13249,13097
13256,13097
13240,13097
13387,13097
13569,13097
13301,13097
13240,13097
14120,13097
13936,13097
14040,13097
14076,13097
13946,13097
13251,13097
13245,13097
13241,13097
13241,13097
13247,13097
13244,13097
13252,13097
13248,13097
13242,13097
13241,13097
13249,13097
13248,13097
13249,13097
13250,13097
13241,13097
13240,13097
13342,13097
13426,13097
13241,13097
13252,13097
13246,13097
13242,13097
13242,13097
13247,13097
13250,13097
13254,13097
13264,13097
13256,13097
13241,13097
13246,13097
13241,13097
13243,13097
13256,13097
13241,13097
13255,13097
13241,13097
13270,13097
13250,13097
13462,13097
13560,13097
13654,13097
13513,13097
13868,13097
14163,13097
14548,13097
14321,13097
13236,13097
13190,13097
13202,13097
13185,13097
13189,13097
13194,13097
13182,13097
13196,13097
13182,13097
13182,13097
13188,13097
13197,13097
13182,13097
13194,13097
13191,13097
13182,13097
13209,13097
13188,13097
13205,13097
13191,12694
13211,12638
13078,12634
12789,12634
12639,12634
12648,12634
12638,12634
12636,12634
12636,12634
12645,12634
12634,12634
12640,12634
12638,12634
12636,12634
12654,12634
12641,12634
12634,12634
12640,12634
12636,12634
12639,12634
12636,12634
12643,12634
12641,12634
12634,12634
12634,12634
12642,12634
12634,12634
12634,12634
12634,12634
12645,12634
12634,12634
12634,12634
12638,12634
12638,12634
12634,12634
12657,12634
12634,12634
12638,12634
12634,12634
12663,12634
12648,12634
12634,12634
12679,12634
12647,12634
12641,12634
12634,12634
12662,12634
12636,12634
12634,12634
12635,12634
12641,12634
12645,12634
12634,12634
12646,12634
12635,12634
12634,12634
12634,12634
12640,12634
12651,12634
12638,12634
12634,12634
12653,12634
12636,12634
12634,12634
12645,12634
12647,12634
12636,12634
12637,12634
12643,12634
12634,12634
12638,12634
12634,12634
12669,12634
12650,12634
12634,12634
12654,12634
12634,12634
12634,12634
12651,12634
12652,12634
12633,12633
12756,12633
12946,12633
13108,12633
13495,12633
13435,12633
12926,12633
12641,12633
12633,12633
12633,12633
12646,12633
12646,12633
12640,12633
12636,12633
12638,12633
12643,12633
12633,12633
12636,12633
12633,12633
12636,12633
12640,12633
12636,12633
12639,12633
12634,12633
12635,12633
12637,12633
12633,12633
12652,12633
12633,12633
12633,12633
12633,12633
12643,12633
12635,12633
12633,12633
12644,12633
12648,12633
12640,12633
12633,12633
12636,12633
12634,12633
12643,12633
12633,12633
12641,12633
12641,12633
12633,12633
12633,12633
12645,12633
12638,12633
12634,12633
12641,12633
12653,12633
12640,12633
12649,12633
12647,12633
12633,12633
12643,12633
12636,12633
12640,12633
12639,12633
12633,12633
12661,12633
12641,12633
12642,12633
12637,12633
12645,12633
12635,12633
12644,12494
12836,12494
12994,12494
13042,12494
13128,12494
12900,12494
13467,12494
14107,12494
14384,12494
14810,12494
15285,12494
13946,12494
12494,12494
12494,12494
12498,12494
12494,12494
12510,12352
12989,12352
12679,12352
13052,12352
13127,12178
13101,12178
12501,12178
12507,12178
12512,12178
12499,12178
12494,12178
12494,12178
12500,12178
12506,12178
12494,12178
12500,12178
12856,12178
12504,12178
12509,12178
12494,12178
12496,12178
12502,12178
12499,12178
12500,12178
12494,12178
12496,12178
12494,12178
12506,12178
12497,12178
12494,12178
12508,12178
12507,12178
12494,12178
12502,12178
12507,12178
12498,12178
12494,12178
12500,12178
12505,12178
12499,12178
12493,12178
12870,12178
13395,12178
13459,12178
13262,12178
13612,12178
13338,12178
12899,12178
12498,12178
12501,12178
12503,12178
12455,12178
12429,12178
12451,12178
12445,12178
12429,12178
12434,12178
12443,12178
12459,12178
12425,11978
12471,11922
12424,11917
12366,11856
12142,11673
12051,11672
12018,11670
12090,11650
13080,11650
11889,11650
11679,11650
11660,11650
11653,11650
11654,11650
11673,11650
11650,11650
11659,11650
11682,11650
11650,11650
11656,11650
11650,11650
11671,11650
11678,11650
11665,11650
11650,11650
11666,11650
11650,11650
11659,11650
11653,11650
11650,11650
11670,11650
11657,11650
11655,11650
11650,11650
11650,11650
11652,11650
11657,11650
11650,11650
11653,11650
11683,11650
11676,11650
11660,11650
11652,11650
11665,11650
11657,11650
11656,11650
11650,11650
11665,11641
11957,11641
12313,11641
11959,11641
11850,11641
11650,11641
11652,11641
11650,11641
11652,11641
11662,11641
11650,11641
11650,11641
11650,11641
11665,11641
11650,11641
11662,11641
11650,11641
11650,11641
11663,11641
11650,11641
11664,11589
12014,11589
11650,11589
11665,11589
11654,11589
11671,11589
11657,11589
11653,11589
11655,11589
11664,11589
11672,11589
11651,11589
11650,11589
11659,11589
11653,11589
11650,11589
11650,11589
11650,11589
11651,11522
12021,11522
12003,11522
13047,11522
13360,11522
14447,11522
15646,11522
14795,11522
12644,11522
11526,11522
11544,11522
11522,11522
11526,11522
11522,11522
11533,11522
11547,11522
11522,11522
11547,11522
11540,11522
11535,11522
11522,11522
11527,11522
11532,11522
11525,11522
11527,11522
11538,11522
11531,11522
11524,11522
11524,11522
11522,11522
11522,11522
11534,11522
11526,11522
11533,11522
11522,11522
11522,11522
11533,11522
11522,11522
11534,11522
11522,11522
11528,11522
11526,11522
11529,11522
11532,11522
11542,11522
11523,11522
11522,11522
11522,11522
11527,11522
11530,11522
11533,11522
11522,11522
11545,11522
11522,11522
11535,11522
11522,11522
11539,11522
11522,11522
11526,11522
11540,11522
11523,11522
11531,11522
11525,11522
11522,11522
11526,11522
11522,11522
11522,11522
11522,11522
11522,11522
11531,11522
11532,11522
11532,11522
11522,11522
11533,11522
11527,11522
11520,11355
11526,11355
11531,11355
11528,11355
11526,11355
11540,11355
11524,11355
11529,11355
11522,11355
11522,11355
11522,11355
11547,11355
11535,11355
11526,11355
