averageFitness,bestFitness
30618,24792
28663,24198
27303,24126
26619,23135
25586,21811
24928,21811
24296,20823
23767,20823
23425,20132
22585,19478
21771,19117
21066,19117
20714,18706
20346,18148
20267,17638
19836,17638
19382,17002
19073,17002
18461,17002
17792,16851
17796,16851
17501,16438
17144,16392
16961,15843
16916,15843
16652,15235
16414,15084
16089,15084
15738,15030
15384,14879
15161,14879
15071,14577
15068,14577
14907,14300
14802,14300
14637,14300
14560,14086
14603,14086
14570,14062
14504,14037
14351,13971
14112,13930
14086,13881
14158,13377
14002,13261
13903,13261
13796,13261
13514,13196
13306,13138
13308,13121
13384,13121
13276,12964
13239,12948
13151,12948
13141,12948
13046,12948
13082,12948
13010,12948
12996,12948
13049,12655
13006,12655
12989,12655
12900,12637
12745,12622
12706,12622
12702,12550
12680,12440
12672,12372
12707,12354
12677,12354
12611,12354
12502,12354
12400,12066
12397,12066
12424,12066
12385,12066
12219,12013
12113,11953
12140,11953
12140,11940
12202,11936
12128,11918
12146,11918
12083,11848
12047,11848
12051,11739
11992,11682
12044,11669
12029,11526
11981,11526
11828,11464
11766,11266
11669,11255
11662,11248
11486,11226
11405,11204
11326,11196
11290,11168
11266,11168
11269,11155
11257,11155
11273,11155
11340,11155
11253,11155
11256,11155
11232,11151
11226,11086
11264,10956
11210,10956
11181,10616
11110,10616
11030,10616
10802,10616
10703,10613
10693,10613
10696,10613
10673,10613
10669,10613
10655,10613
10679,10613
10634,10613
10687,10613
10648,10601
10669,10601
10705,10564
10681,10564
10682,10564
10628,10563
10600,10538
10661,10538
10643,10538
10639,10537
10608,10537
10597,10534
10618,10534
10705,10534
10649,10534
10660,10525
10574,10525
10617,10525
10591,10525
10570,10525
10618,10525
10601,10525
10624,10522
10568,10522
10565,10522
10623,10446
10540,10446
10581,10446
10593,10446
10503,10446
10488,10446
10489,10420
10554,10420
10688,10420
10562,10420
10733,10420
10731,10420
10589,10420
10466,10420
10509,10420
10446,10420
10497,10420
10477,10420
10490,10420
10463,10420
10493,10420
10485,10295
10486,10295
10585,10164
10611,10164
10600,10164
10552,10164
10495,10164
10284,10164
10239,10154
10282,10154
10290,10154
10325,10154
10266,10154
10198,10154
10236,10154
10253,10154
10230,10154
10189,10154
10227,10074
10204,10074
10227,10074
10181,9955
10113,9955
10104,9927
10100,9809
10038,9809
10005,9809
9936,9805
9913,9805
9981,9805
9918,9805
10001,9805
9900,9805
9891,9724
9861,9724
9866,9724
9826,9712
9811,9712
9783,9712
9826,9712
9775,9712
9765,9697
9772,9697
9784,9697
9764,9697
9756,9697
9802,9697
9788,9697
9766,9697
9782,9697
9788,9695
9808,9695
9767,9695
9761,9695
9773,9685
9769,9131
9766,9131
9727,9122
9542,9122
9206,9122
9150,9122
9188,9122
9173,9122
9155,9090
9177,9090
9138,9090
9172,9090
9172,9090
9154,9090
9192,9090
9198,9090
9192,9090
9141,9090
9213,9090
9187,9090
9176,9090
9208,9090
9138,9090
9179,9090
9152,9090
9128,9090
9174,9090
9165,9090
9140,9090
9146,9090
9175,9090
9188,9090
9147,9090
9156,9053
9141,9053
9147,9053
9147,9053
9113,9053
9157,9053
9129,9053
9104,9053
9106,9053
9093,9053
9113,9053
9156,9053
9159,9053
9140,9053
9123,9053
9145,9053
9095,9053
9116,9053
9126,9053
9123,9053
9138,9053
9103,9053
9156,9053
9117,9053
9147,9046
9145,9046
9200,9046
9160,9046
9201,9046
9130,9046
9114,9046
9161,9046
9131,9046
9131,9046
9094,9046
9173,9046
9141,9046
9118,9046
9110,9046
9103,9046
9159,9046
9120,9046
9169,9034
9082,9034
9104,9034
9152,9034
9098,9034
9099,9034
9105,9034
9126,9034
9104,9034
9067,9034
9099,9034
9094,9034
9050,9034
9079,9034
9120,9034
9105,9034
9108,9034
9108,9034
9127,9034
9125,9034
9100,9034
9105,9034
9120,9034
9079,9034
9115,9034
9083,9034
9142,9034
9115,9034
9103,9034
9125,9034
9112,9034
9098,9034
9150,9034
9103,9034
9105,9034
9079,9034
9137,9034
9089,9034
9104,9034
9084,9034
9095,9034
9142,9034
9103,9034
9089,9034
9104,9034
9108,9034
9089,9034
9108,9034
9112,9034
9113,9034
9112,9034
9148,9034
9107,9034
9135,9034
9165,9034
9106,9034
9147,9034
9133,9034
9069,9034
9069,9034
9105,9034
9095,9034
9159,9034
9090,9034
9101,9034
9091,9034
9063,9034
9084,9034
9068,9034
9152,9034
9101,9034
9094,9034
9125,9034
9095,9034
9074,9034
9081,9034
9124,9034
9145,9034
9121,9034
9123,9034
9179,9034
9101,9022
9093,9022
9090,9022
9138,9022
9086,9022
9092,9022
9077,9022
9119,9022
9076,9022
9099,9022
9074,9022
9079,9022
9080,9022
9069,9022
9071,9022
9064,9022
9114,9022
9095,9022
9102,9022
9137,9022
9070,9022
9059,9022
9161,9022
9084,9022
9111,9022
9112,9022
9110,9022
9088,9022
9115,9022
9141,9022
9080,9022
9094,9022
9077,9022
9073,9022
9069,9022
9099,9022
9115,9022
9099,9022
9082,9022
9142,9022
9066,9022
9093,9022
9100,9022
9091,9022
9086,9022
9067,9022
9072,9022
9081,9022
9092,9022
9119,9022
9066,9022
9087,9022
9072,9022
9098,9022
9142,9022
9070,9022
9040,9022
9089,9022
9069,9022
9099,9022
9105,9022
9099,9022
9083,9022
9073,9022
9115,9022
9074,9022
9103,9022
9078,9022
9109,9022
9089,9022
9126,9022
9089,9022
9104,9022
9104,9022
9144,9022
9156,9022
9109,9022
9095,9022
9125,9022
9094,9022
9078,9022
9060,9022
9122,9022
9122,9022
9090,9022
9106,9022
9098,9022
9043,9022
9088,9022
9079,9022
9070,9022
9048,9022
9096,9022
9087,9022
9196,9022
