averageFitness,bestFitness
30485,25730
29577,25730
28967,24449
28827,23964
28664,23964
28085,23964
27855,23247
27697,23247
27606,23247
27347,23247
26682,23247
25825,23154
25058,23153
25021,21889
25499,21889
25201,21526
24881,21526
24145,21526
23664,20835
23055,20473
22976,20473
22947,19824
22650,19612
22763,19612
22538,19612
22245,19192
22341,19192
22245,18941
21635,18941
21261,18941
20924,18858
20572,18594
20312,18363
20458,18363
20388,18192
20148,18153
19918,17867
19835,17867
19503,17682
19392,17655
19326,17393
18888,17344
18473,17097
18731,16544
18360,16544
17945,16513
17394,16513
17199,16384
17140,16245
17649,15240
17268,15240
16668,15240
16946,15240
17279,15240
17411,15240
18140,15240
17194,15240
15746,15132
15391,15101
15688,15101
15915,14993
15506,14993
15552,14993
15530,14742
16289,14742
16023,14742
15677,14742
15807,14648
15656,14648
15303,14648
15142,14624
15306,14602
15266,14602
15493,14589
15360,14589
15098,14578
14992,14575
14765,14227
15185,14227
15039,14227
14956,14227
15554,14227
15287,14227
14587,14227
14449,14157
14542,14157
14436,14157
14445,14157
14415,14157
14455,14157
14381,14157
14470,14157
14645,14157
14459,14157
14360,14157
14357,14157
14598,14157
14347,14157
14273,14157
14246,14157
14256,13756
14542,13756
14867,13756
14622,13756
14931,13756
15206,13756
15788,13756
14997,13756
15501,13756
15244,13756
15290,13756
14403,13756
13973,13756
13988,13756
13978,13391
14137,13391
14432,13391
14141,13391
14386,13391
14254,13391
14990,13391
16152,13391
16184,13391
14258,13391
13848,13391
13808,13391
14906,13391
15856,13391
15046,13350
15389,13267
14814,13212
14691,13212
14245,13212
13582,13052
14142,13052
13409,13052
13516,12947
13923,12947
13914,12947
13238,12947
13903,12947
15155,12947
15687,12947
16165,12947
17649,12947
16114,12947
13210,12947
13144,12947
13147,12947
13262,12947
13122,12826
13271,12826
13272,12826
13289,12826
13291,12826
13141,12826
13288,12826
13436,12826
13728,12826
13382,12826
13301,12720
13243,12720
13392,12720
13236,12720
12917,12720
12763,12219
13130,12219
13487,12219
13254,12219
13504,11958
13824,11958
13692,11958
12869,11958
12424,11958
12455,11958
12455,11958
12701,11958
12764,11958
13383,11958
13068,11958
13455,11958
13710,11958
13695,11958
12458,11958
12637,11958
12446,11958
12582,11958
12271,11958
12246,11958
12192,11919
12373,11919
12788,11919
12578,11803
12602,11803
12840,11580
11952,11580
11827,11580
11673,11580
11643,11575
11702,11575
11624,11355
11911,11355
11779,11355
12351,11355
12265,11355
13588,11303
12992,11303
13168,11303
12319,11303
12601,11303
12592,11303
12499,11303
13296,11303
13042,11303
13084,11195
11538,11188
11853,11188
11424,11178
11327,11149
11526,10835
11543,10835
11468,10835
11650,10835
11451,10835
11386,10835
11505,10835
11811,10835
11953,10792
11398,10762
11222,10278
11024,10278
11304,10278
11304,10278
10978,10278
11168,10278
11196,10278
11391,10278
11703,10278
11324,10278
10430,10278
10361,10278
10299,10278
10320,10224
10448,10224
10415,10224
10372,10224
10443,10224
10588,10224
10547,10224
10627,10224
10672,10224
10817,10224
10692,10224
10352,10224
10299,10224
10293,10224
10343,10224
10309,10224
10271,10224
10306,10224
10275,10224
10330,10224
10274,10224
10332,10224
10317,10224
10333,10224
10286,10205
10365,10205
10322,10205
10343,10205
10421,10205
10456,10205
10485,10205
10518,10205
10363,10165
10237,10165
10256,10165
10269,10165
10256,10165
10229,10163
10342,10163
10251,10163
10292,10155
10276,10155
10312,10155
10201,10155
10235,10155
10224,10155
10244,10155
10225,10155
10191,10155
10219,10155
10190,10155
10223,10155
10251,10155
10226,10155
10227,10155
10208,10155
10204,10155
10202,10155
10216,10155
10238,10155
10196,10155
10234,10155
10187,10155
10217,10150
10225,10067
10210,9980
10142,9743
10162,9743
10057,9743
9944,9743
9823,9743
9788,9402
10219,9402
9812,9402
9854,9402
9823,9402
9831,9402
9865,9402
9843,9402
9825,9402
9807,9402
9789,9402
9865,9402
9804,9402
9848,9402
9826,9402
9828,9402
9848,9402
9833,9402
9838,9402
9794,9402
9780,9402
9810,9402
9843,9402
9805,9402
9853,9402
9816,9402
9964,9402
9906,9402
10043,9402
10014,9402
9970,9402
10116,9402
9883,9402
9777,9402
9806,9402
9744,9402
9737,9402
9740,9402
9711,9402
9797,9402
9724,9402
9760,9402
9755,9402
9748,9402
9723,9402
9710,9402
9733,9402
9712,9402
9722,9402
9697,9402
9688,9402
9720,9402
9720,9402
9719,9402
9663,9402
9691,9402
9695,9402
9778,9402
9715,9402
9878,9402
9805,9402
9836,9402
9864,9402
9877,9402
9720,9402
9748,9402
9716,9402
9767,9402
9770,9402
9728,9402
9722,9402
9693,9402
9683,9402
9712,9402
9741,9402
9698,9402
9760,9402
9676,9402
9706,9402
9733,9402
9698,9402
9708,9402
9723,9402
9666,9402
9715,9402
9716,9402
9702,9402
9747,9402
9743,9402
9725,9402
9763,9402
9673,9402
9693,9402
9702,9402
9658,9402
9670,9402
9665,9402
9711,9402
9682,9402
9661,9402
9666,9402
9660,9402
9735,9402
9685,9402
9552,9402
9556,9402
9529,9402
9581,9402
9540,9402
9493,9402
9557,9402
9495,9402
9546,9402
9539,9402
9508,9402
9522,9402
9519,9402
9495,9402
9512,9402
9520,9402
9493,9402
9539,9309
9589,9309
9536,9309
9649,9309
9506,9309
9493,9309
9539,9309
9516,9309
9508,9309
9534,9309
9535,9309
9471,9309
9500,9309
9492,9309
9503,9309
9586,9309
9504,9309
9505,9309
9519,9309
9843,9309
9498,9309
9934,9309
9481,9309
9524,9309
9521,9309
9557,9309
9547,9309
9556,9309
9587,9309
9527,9309
9508,9309
9541,9309
9535,9309
9520,9309
9516,9309
9525,9309
9506,9309
9522,9309
9518,9309
9485,9309
9532,9309
9563,9309
9531,9309
9575,9309
9525,9309
9553,9309
9516,9309
9496,9309
9483,9309
9516,9309
9542,9309
9565,9309
9672,9309
9563,9309
9543,9309
9574,9309
9482,9309
9514,9309
9491,9309
9528,9309
9544,9309
9548,9309
9551,9309
9500,9309
9530,9309
9543,9309
9502,9309
9505,9309
9523,9309
9566,9309
9569,9309
9528,9309
9579,9309
9523,9309
9580,9309
9516,9309
9496,9309
9510,9309
9517,9309
9529,9309
9537,9309
9513,9309
9524,9309
9592,9309
9625,9309
9664,9309
9728,9309
10003,9309
10042,9309
9922,9309
9745,9309
9844,9309
10006,9309
10233,9309
9996,9285
9802,9285
9505,9285
9468,9285
9499,9285
9448,9285
9433,9285
9449,9285
9474,9285
9496,9285
9435,9285
9463,9285
9434,9285
9461,9285
9445,9285
9454,9250
9485,9250
9459,9234
9755,9234
9601,9234
9494,9234
9477,9234
9472,9196
9332,9196
9318,9196
9318,9196
9302,9196
9273,9196
9272,9196
9286,9196
9230,9196
9258,9196
9272,9196
9291,9196
9280,9196
9317,9196
9311,9196
9296,9196
9237,9196
9280,9196
9264,9196
9230,9196
