averageFitness,bestFitness
30475,25862
29184,25862
28358,24655
27986,22885
27507,22885
27293,22885
27064,22885
26717,20751
26104,20751
25413,20479
24709,20479
24338,20479
23975,20272
23951,20272
23634,19139
23253,19047
22739,19047
21979,19047
21887,18707
21707,18707
22083,18707
22271,18707
21918,18707
21841,18707
21874,18628
21825,18269
21991,18269
21910,17589
21447,17589
21450,17589
21618,17589
21309,17589
21185,17589
20942,17589
20815,17209
20392,17209
20188,17064
19924,16857
19642,16857
19495,16857
19570,16780
19462,16780
19312,16780
19153,16769
18951,16637
18460,16348
18085,16153
18204,15929
18228,15329
18423,15329
18372,14991
18045,14903
18277,14903
18290,14903
18085,14903
18241,14776
18036,14776
18404,14438
18483,14438
18126,14438
18727,14438
18420,14438
18607,14438
18718,14438
18621,14438
18694,14438
18495,14438
18303,14438
18020,14438
17501,14438
16843,14438
16019,13900
15196,13900
14983,13544
14693,13521
14506,13225
14236,13225
14034,13047
13967,12962
13797,12840
13752,12807
13629,12601
13483,12337
13458,12304
13238,12162
13232,11978
13037,11790
13086,11688
13066,11688
13171,11688
13169,11688
13113,11384
13087,11384
12701,11384
12432,11384
12281,11220
12369,11010
12091,10962
11985,10962
11908,10962
11827,10955
11712,10772
11687,10756
11557,10563
11455,10432
11484,10169
11271,10169
11084,10169
11003,10169
10807,10169
10791,10128
10640,10039
10593,9610
10540,9610
10641,9610
10791,9610
10945,9610
10795,9610
10853,9610
10901,9400
10734,9322
10705,9277
10615,9277
10430,9277
10240,9277
10184,9277
9883,9277
9847,9196
9720,9182
9745,9182
9690,9182
9689,9172
9670,9172
9664,9153
9625,9096
9625,9096
9557,9067
9628,9067
9540,9067
9547,9028
9533,8881
9446,8881
9449,8814
9445,8761
9379,8761
9290,8677
9307,8669
9216,8669
9185,8617
9130,8617
9160,8617
9104,8617
9156,8616
9083,8608
9144,8597
9113,8597
9087,8596
9095,8573
9073,8573
9085,8551
9182,8551
9090,8551
9081,8540
9121,8516
8983,8486
8994,8465
8966,8465
9007,8465
8978,8465
8941,8448
8948,8448
8945,8448
8947,8448
8904,8424
8922,8424
8979,8424
8982,8424
8917,8340
8987,8340
8902,8340
8960,8340
8869,8340
8865,8340
8770,8340
8882,8340
8844,8329
8828,8329
8814,8329
8806,8329
8746,8329
8805,8329
8874,8329
8793,8329
8739,8329
8817,8329
8767,8329
8843,8329
8823,8329
8853,8329
8771,8329
8833,8329
8764,8329
8821,8329
8757,8329
8816,8329
8805,8329
8928,8329
8851,8329
8752,8329
8863,8329
8866,8329
8821,8329
8861,8329
8788,8329
8753,8329
8753,8329
8810,8329
8800,8329
8746,8329
8806,8329
8884,8329
8808,8329
8701,8329
8724,8329
8798,8329
8826,8329
8786,8329
8815,8329
8797,8329
8810,8329
8673,8329
8763,8329
8737,8329
8733,8329
8839,8329
8848,8329
8837,8329
8824,8329
8808,8329
8798,8329
8758,8329
8754,8329
8818,8329
8767,8329
8883,8329
8804,8329
8816,8329
8726,8329
8788,8329
8715,8329
8858,8329
8781,8329
8855,8329
8841,8329
8826,8329
8733,8329
8754,8329
8877,8329
8759,8329
8761,8329
8750,8329
8812,8329
8776,8329
8750,8329
8731,8329
8821,8329
8728,8329
8722,8329
8773,8329
8820,8329
8835,8329
8755,8329
8834,8329
8743,8329
8812,8329
8766,8329
8755,8329
8729,8329
8764,8329
8783,8329
8764,8329
8853,8329
8764,8329
8799,8329
8768,8329
8801,8329
8792,8329
8786,8329
8756,8329
8696,8329
8764,8329
8847,8329
8783,8329
8802,8329
8777,8329
8747,8329
8853,8329
8789,8329
8849,8329
8775,8329
8806,8329
8701,8329
8772,8329
8728,8329
8819,8329
8709,8329
8784,8329
8814,8329
8833,8329
8837,8329
8752,8329
8792,8329
8780,8329
8795,8329
8911,8329
8768,8329
8745,8329
8762,8329
8802,8329
8838,8329
8894,8329
8808,8329
