averageFitness,bestFitness
30720,25863
29917,24543
29429,24266
29376,24266
28987,24266
28746,24266
28417,24111
28351,22984
28129,22912
27944,22912
27468,21978
26749,21978
26815,21978
26495,21978
25972,20812
25286,20812
25082,20812
24745,20163
24457,19803
24266,19336
23634,19336
23157,19336
23178,19336
23145,19031
22512,19031
22758,19031
22901,19031
23110,19031
22988,19031
22864,19031
22924,19031
22832,18644
22936,18644
22925,18644
22825,18644
22791,18640
22458,18640
22288,18025
21767,18025
21822,18025
21315,18025
21347,18025
21471,17950
21418,17950
21080,17950
21418,17950
20681,17723
20222,16990
19902,16205
20259,16205
20185,16205
20703,16205
20436,16205
20354,16205
19807,16205
20014,16205
19615,16205
19755,16205
19547,16205
19445,16205
19951,16205
20270,16205
19907,16205
19871,16205
19609,16205
19547,16205
19383,16205
19382,16008
19197,15931
19109,15931
19410,15638
19255,15564
18686,15564
18875,15564
18369,15564
18206,15564
17872,15448
18559,15010
18006,14999
18290,14776
18185,14757
18335,14607
18107,14607
17747,14607
17856,14607
17762,14607
17884,14607
17246,14541
17484,14385
17355,14133
17280,14133
17390,14133
17400,14133
17217,14133
18073,14133
17281,14133
17104,14133
17193,14133
17194,13981
17409,13981
17370,13981
17127,13981
17259,13981
16988,13981
16976,13716
17013,13437
17211,13437
17028,13437
17379,13437
17812,13437
17266,13437
16922,13168
16378,13168
16737,13168
16023,13168
16386,13168
16733,13168
16175,13168
15765,13168
15768,13098
16018,13098
16267,13098
16132,13098
16710,13098
15998,12947
16048,12855
15184,12815
15331,12554
15099,12532
15293,11943
15155,11943
14634,11943
14868,11937
14881,11937
14572,11928
13946,11711
13754,11647
13506,11647
13827,11647
13509,11647
13834,11560
13643,11560
14637,11560
14393,11560
14562,11560
14655,11560
14348,11560
14273,11560
14186,11560
14283,11560
13839,11560
14124,11521
13261,11473
13226,11473
13737,11473
12998,11473
13243,11473
12999,11361
13125,11318
12621,11283
12449,11085
12494,11085
12412,11085
12970,11085
12755,11066
12238,11028
13232,10835
12550,10835
12541,10835
12673,10835
12587,10835
12034,10835
11875,10781
12439,10676
12652,10676
11911,10676
12368,10676
11980,10676
11814,10676
11601,10654
11795,10618
11515,10584
11564,10584
11687,10510
12097,10510
11377,10415
11943,10314
11806,10314
12493,10314
12047,10314
11890,10314
11640,10314
11319,10314
11346,10314
12595,10314
11574,10314
12295,10314
11974,10314
11722,10314
11878,10252
11603,10252
11262,10252
11586,10252
11424,10252
11007,10252
10750,10242
10791,10223
11241,10223
10821,10223
10851,10097
12097,10097
11582,10097
10793,10097
12406,10097
11134,10097
11656,10097
11982,10097
11627,10097
10739,10097
10922,10097
10974,10097
10780,10097
11156,10097
10950,9900
12397,9900
11372,9900
11119,9900
11596,9900
11840,9900
10789,9900
10816,9900
11063,9900
10713,9900
10992,9900
11519,9900
11493,9900
10910,9900
10862,9900
10934,9900
10781,9900
11345,9900
11588,9900
11051,9900
11026,9900
10586,9900
10927,9900
11398,9900
10716,9900
11715,9900
10755,9900
11205,9900
11771,9900
11156,9900
11394,9900
11177,9900
10952,9900
10801,9900
10731,9900
11038,9900
10764,9900
11284,9900
10684,9900
10675,9900
11337,9900
12070,9900
11366,9900
11161,9900
10961,9900
10808,9900
11031,9900
11747,9900
11991,9900
11217,9900
10932,9900
11563,9900
11217,9900
11757,9900
11299,9900
10798,9900
11629,9900
10836,9900
11554,9900
11839,9900
10897,9779
11688,9779
10787,9779
11495,9779
11659,9779
10794,9779
11252,9779
11322,9779
11974,9779
11121,9779
11380,9779
10808,9779
10804,9779
11555,9779
10823,9779
10564,9779
11203,9779
11890,9779
12356,9779
10871,9779
12122,9779
11448,9779
11061,9779
11084,9779
11733,9779
10617,9779
10715,9779
10847,9779
12080,9779
10758,9779
10873,9779
11645,9779
10984,9779
11870,9779
10985,9779
11892,9779
11444,9779
11101,9779
11679,9779
11903,9779
11297,9760
11395,9760
11268,9760
11026,9760
11291,9760
11725,9760
10965,9760
10787,9760
10793,9760
10795,9760
12154,9760
12633,9760
10972,9760
11475,9760
10606,9760
11070,9760
10691,9760
10850,9760
10818,9760
10585,9760
11225,9760
11584,9760
11608,9760
10630,9760
10984,9760
11911,9760
10750,9760
10515,9760
10575,9760
10698,9760
10765,9760
12764,9760
10925,9760
11064,9760
10572,9760
11426,9760
10997,9760
11128,9760
11458,9760
11128,9760
11003,9760
10570,9760
10693,9760
10764,9760
11013,9760
10777,9760
10910,9760
10758,9760
10786,9760
10697,9760
11807,9760
11822,9760
11688,9760
11316,9760
10641,9760
10678,9760
10550,9760
11680,9760
11254,9760
10960,9760
10943,9760
12285,9760
11357,9760
10581,9760
10667,9760
10649,9760
11112,9760
10731,9760
11932,9760
10742,9760
10838,9760
10778,9760
12844,9760
11337,9760
11026,9760
10802,9760
10967,9760
10795,9760
10907,9760
11289,9760
10777,9760
11239,9760
11220,9760
11522,9760
11219,9760
10671,9760
10546,9760
10555,9760
11248,9760
10781,9760
11053,9760
11304,9760
10705,9760
12999,9760
11139,9760
10604,9760
10499,9760
10912,9760
11238,9760
10913,9760
10669,9760
10865,9760
11842,9760
11194,9760
10632,9760
10528,9760
10565,9760
10602,9760
10847,9760
10747,9760
11651,9760
10842,9760
10693,9760
10632,9760
10643,9760
10508,9760
10717,9760
11425,9760
13199,9760
11702,9760
10451,9760
11630,9760
11134,9760
10821,9760
11771,9760
11453,9760
10659,9760
11810,9760
10783,9760
10665,9760
12063,9760
10740,9760
10572,9760
10634,9760
10632,9760
10686,9754
11034,9754
10660,9754
10519,9754
10541,9754
10413,9754
10615,9754
12986,9754
11356,9754
10763,9754
10769,9754
11344,9754
10956,9754
10632,9754
10551,9754
10691,9754
11250,9754
11446,9754
10680,9754
11649,9754
10979,9754
10575,9754
10552,9754
10535,9754
10672,9754
10606,9754
10704,9754
10444,9754
10480,9754
10846,9754
10723,9754
10425,9754
10861,9754
10499,9754
10719,9754
10676,9754
10613,9754
10516,9754
10713,9754
10616,9754
10828,9754
11003,9754
10576,9754
10514,9754
10549,9725
10571,9725
10828,9725
11078,9725
10968,9725
10619,9725
10638,9725
11102,9725
10875,9725
12905,9725
10627,9725
10478,9725
10803,9725
11463,9725
11269,9725
11012,9725
11119,9725
10491,9725
10625,9725
10445,9725
11119,9725
11399,9725
11060,9725
10967,9725
11521,9725
10611,9725
10563,9725
10575,9725
10605,9725
10856,9725
10771,9725
11629,9725
11726,9725
10536,9725
10685,9725
11518,9725
11423,9725
11276,9725
11220,9725
10655,9725
10631,9725
10667,9725
11212,9725
11251,9725
10601,9725
10615,9725
10690,9725
10601,9725
10905,9725
11385,9725
10815,9725
11408,9725
11840,9725
11381,9725
10954,9725
12452,9725
11529,9725
11017,9725
10915,9725
10666,9725
10646,9725
10727,9725
10591,9725
10522,9725
10501,9725
12415,9725
11030,9725
10509,9725
10632,9725
11082,9725
11092,9725
10583,9725
11564,9725
11070,9725
11488,9725
10633,9725
10587,9725
10578,9725
10403,9725
10471,9725
10641,9725
10712,9725
10502,9725
10539,9725
10962,9725
10497,9725
10504,9725
11079,9725
10749,9725
11709,9725
10786,9725
10603,9725
10564,9725
10692,9725
11415,9725
10659,9725
10602,9725
10809,9725
12507,9725
10969,9725
11327,9725
10780,9725
10502,9725
11200,9725
11086,9725
12304,9725
11230,9725
11096,9725
11942,9725
10758,9725
11323,9725
11194,9725
11021,9725
10533,9725
10478,9725
10804,9725
10569,9725
10764,9725
10549,9725
11062,9725
11969,9725
10564,9725
11058,9725
10851,9725
11806,9725
10980,9725
10640,9725
10711,9725
10449,9725
10694,9725
10827,9725
11110,9725
11456,9725
11149,9725
10809,9725
10500,9725
10505,9725
10637,9725
10720,9725
10677,9725
10548,9725
10588,9725
10676,9725
10925,9725
10602,9725
10535,9725
10728,9725
11436,9725
11814,9725
10703,9725
11340,9725
10648,9725
10960,9725
11912,9725
10896,9725
10617,9725
10753,9725
10451,9725
10504,9725
12292,9725
11019,9725
10680,9725
10949,9725
10528,9725
11091,9725
10770,9725
11641,9725
10960,9725
10807,9725
10838,9725
10543,9725
10904,9725
10540,9725
11730,9725
11225,9725
11219,9725
11350,9725
11098,9725
10964,9725
11408,9725
11024,9725
11507,9725
11248,9725
11374,9725
12826,9725
11114,9725
11744,9725
10888,9725
11471,9725
10597,9725
11712,9725
10569,9725
11794,9725
10876,9725
11434,9725
10506,9725
10665,9713
10820,9713
11163,9713
11077,9713
10882,9713
10660,9713
10734,9713
10635,9713
10598,9713
10501,9713
11286,9703
10914,9703
10614,9703
10469,9703
10445,9703
10421,9703
10548,9703
10608,9703
11372,9703
10654,9703
10554,9703
10588,9703
10778,9703
10645,9703
11949,9703
10796,9703
10506,9703
11438,9703
11124,9703
11327,9703
11485,9703
11242,9703
11025,9703
12257,9703
10873,9703
10502,9703
11051,9703
11662,9703
10761,9703
10651,9703
10864,9703
10657,9703
11153,9703
10817,9703
10688,9703
10827,9703
10548,9703
10733,9703
10657,9703
11270,9703
10759,9703
10649,9703
11365,9703
10429,9703
10457,9703
10529,9703
10435,9703
10853,9703
10855,9703
10939,9703
11602,9703
10461,9703
11560,9703
10617,9703
11068,9703
11492,9703
