averageFitness,bestFitness
30485,25730
29004,25730
27709,24834
26696,24834
26209,23930
25836,23930
25031,23435
24396,21430
23921,21048
23360,20885
22391,20760
21757,19594
21324,19594
21266,19561
20684,19236
20264,18959
19854,18745
19613,17865
19475,17865
18978,17277
18604,17277
18138,17130
17720,17039
17605,16894
17530,16238
17517,16238
17429,16187
17145,16187
16891,16011
16348,15947
16474,15839
16497,15735
16307,15626
16390,15547
16166,15443
16069,15336
16049,14925
15894,14608
15593,14608
15187,14423
15094,14423
15003,14399
14773,14162
14640,14162
14582,14050
14585,14050
14395,14050
14322,13998
14348,13838
14283,13838
14344,13632
14256,13632
14182,13580
14113,13504
14025,13504
13967,13072
13802,13072
13791,13072
13569,12582
13397,12582
13239,12582
13119,12582
13028,12582
13002,12582
12897,12582
12912,12582
12973,12582
12963,12495
13086,12495
13025,12495
12965,12495
12915,12495
12993,12426
13126,12426
12942,12324
12781,12324
12689,12324
12609,12290
12526,12290
12507,12188
12649,11962
12499,11962
12458,11962
12385,11962
12268,11624
12264,11624
12365,11305
12343,11305
12130,11305
11705,11267
11571,11112
11485,11112
11516,11112
11531,10984
11490,10984
11508,10940
11386,10927
11245,10852
11243,10680
11208,10607
11063,10607
10927,10603
10843,10553
10859,10518
10899,10421
10989,10421
10934,10421
10827,10173
10689,10173
10651,10173
10597,10173
10600,10173
10467,10139
10353,10139
10399,10139
10269,10139
10402,10139
10324,10139
10416,10139
10373,10129
10375,10129
10350,10129
10342,10129
10276,10129
10331,9849
10279,9849
10283,9817
10262,9817
10071,9769
10103,9769
10145,9752
10135,9710
10020,9710
10061,9710
10008,9710
9986,9710
9856,9710
9912,9710
9973,9710
9869,9709
9877,9709
9987,9709
9945,9576
9918,9576
9906,9576
9860,9576
9870,9575
9890,9575
9861,9479
9827,9479
9771,9479
9718,9477
9801,9477
9631,9477
9656,9477
9791,9477
9675,9477
9752,9477
9670,9397
9751,9397
9704,9397
9677,9397
9728,9397
9619,9367
9592,9367
9607,9367
9581,9367
9588,9303
9605,9303
9483,9271
9501,9271
9535,9248
9544,9248
9542,9248
9516,9248
9525,9248
9426,9248
9411,9248
9545,9248
9463,9245
9397,9245
9494,9245
9428,9245
9473,9245
9421,9245
9477,9245
9432,9245
9490,9240
9478,9240
9477,9240
9503,9240
9546,9240
9482,9240
9436,9240
9441,9240
9420,9206
9429,9206
9447,9206
9510,9206
9452,9206
9428,9206
9458,9189
9468,9180
9456,9180
9431,9170
9366,9170
9357,9170
9377,9170
9340,9170
9386,9170
9429,9170
9411,9170
9418,9170
9333,9170
9383,9170
9405,9170
9369,9170
9399,9170
9365,9170
9461,9170
9398,9143
9402,9143
9325,9143
9328,9143
9322,9143
9375,9079
9389,9079
9382,9079
9358,9079
9331,9079
9311,9079
9322,9079
9299,9039
9315,9039
9295,9039
9253,9039
9240,8981
9265,8981
9296,8981
9221,8981
9261,8981
9214,8981
9319,8981
9274,8981
9240,8981
9245,8981
9139,8981
9177,8981
9168,8981
9210,8981
9226,8981
9189,8981
9172,8981
9202,8981
9246,8981
9170,8981
9201,8981
9197,8981
9194,8981
9177,8981
9228,8981
9186,8981
9164,8981
9192,8981
9184,8981
9110,8981
9210,8981
9196,8981
9230,8981
9169,8981
9168,8981
9157,8981
9148,8981
9180,8981
9146,8981
9271,8981
9247,8981
9225,8981
9165,8981
9229,8981
9213,8981
9169,8981
9153,8981
9206,8981
9208,8981
9212,8981
9193,8981
9225,8981
9172,8981
9226,8981
9181,8981
9203,8981
9216,8981
9210,8981
9222,8981
9164,8981
9184,8981
9235,8981
9225,8981
9178,8981
9176,8981
9197,8981
9191,8981
9122,8981
9184,8981
9176,8981
9261,8981
9187,8981
9185,8981
9150,8981
9235,8981
9236,8981
9198,8981
9141,8981
9242,8981
9186,8981
9214,8981
9171,8981
9254,8981
9307,8981
9244,8981
9209,8981
9149,8981
9228,8981
9210,8981
9183,8981
9171,8981
9194,8981
9157,8981
9150,8981
9220,8981
9221,8981
9240,8981
9200,8981
9199,8981
9188,8981
9171,8981
9123,8981
9205,8981
9199,8981
9175,8981
9221,8981
9164,8981
9209,8981
9196,8981
9233,8981
9135,8981
9187,8981
9215,8981
9259,8981
9170,8981
9199,8981
9175,8981
9154,8981
9141,8981
9157,8981
9264,8981
9251,8981
9220,8981
9172,8981
9210,8981
9206,8981
9176,8981
9230,8981
9195,8981
9166,8981
9235,8981
9159,8981
9174,8981
9300,8981
9264,8981
9191,8981
9249,8981
9187,8981
9168,8981
9211,8981
9201,8981
9196,8981
9243,8981
9134,8981
9241,8981
9190,8981
9174,8981
9138,8981
9238,8981
9200,8981
9148,8981
9128,8981
9225,8981
9269,8981
9197,8981
9140,8981
9141,8981
9201,8981
9195,8981
9175,8981
9286,8981
9163,8981
9124,8981
9129,8981
9171,8981
9221,8981
9175,8981
9180,8981
9183,8981
9182,8981
9222,8981
9159,8981
9184,8981
9242,8981
9244,8981
9277,8981
9165,8981
9147,8981
9220,8981
9239,8981
9155,8981
9196,8981
9165,8981
9169,8981
9203,8981
9159,8981
9131,8981
9155,8981
9222,8981
9205,8981
9147,8981
9152,8981
9194,8981
9129,8981
9249,8981
9170,8981
9208,8981
9243,8981
9190,8981
9151,8981
9290,8981
9210,8981
9148,8981
9238,8981
9241,8981
9272,8981
9186,8981
9233,8981
9221,8981
9265,8981
9261,8981
9177,8981
9196,8981
9167,8981
9147,8981
9192,8981
9240,8981
9193,8981
9139,8981
9276,8981
9225,8981
9159,8981
9141,8981
9203,8981
9184,8981
9207,8981
9233,8981
9183,8981
9233,8981
9138,8981
9216,8981
9146,8981
9159,8981
9163,8981
9223,8981
9153,8981
9211,8981
9163,8981
9183,8981
9224,8981
9267,8981
9230,8981
9216,8981
9198,8981
9113,8981
9207,8981
9259,8981
9256,8981
9193,8981
9180,8981
9226,8981
9248,8981
9229,8981
9211,8981
