averageFitness,bestFitness
30856,27425
29310,27148
28200,25817
27443,25817
26885,25527
26141,25527
25781,25180
25623,24799
25485,24353
25252,24353
24893,23812
24548,23812
24311,22912
24013,22912
23495,22912
23142,22657
22923,21742
22804,21526
22554,21334
22195,21334
21746,21334
21466,21098
21358,21098
21354,21070
21282,20153
21196,20153
21102,20153
20864,20153
20520,20153
20304,19790
20204,19790
20131,19790
19947,19131
19768,19131
19654,19131
19328,19131
19167,19006
19149,19006
19147,19006
19144,18517
19026,18212
18963,18212
18849,18212
18506,18212
18258,17925
18229,17925
18180,17520
18046,17520
17950,17520
17765,17520
17536,17460
17547,17460
17572,17267
17528,17016
17509,17016
17370,17016
17089,16855
17033,16855
17062,16606
17001,16606
16843,16473
16747,16473
16684,16473
16571,16166
16490,16166
16434,16166
16325,16134
16208,16010
16235,16010
16161,16010
16119,16010
16034,15843
16027,15843
16035,15843
16048,15836
15982,15836
15877,15836
15864,15836
15900,15836
15875,15670
15870,15670
15825,15590
15745,15590
15664,15590
15718,15408
15688,15408
15602,15408
15514,15408
15450,15370
15449,15370
15449,15370
15414,15370
15405,15185
15374,14991
15390,14991
15224,14890
15123,14890
15014,14868
14992,14785
14934,14731
14886,14731
14872,14488
14766,14249
14692,14249
14551,14249
14409,14249
14271,14249
14307,14249
14261,14249
14266,14055
14278,14055
14225,14055
14122,14055
14091,13892
14062,13892
14015,13892
13939,13892
13915,13823
13916,13823
13953,13805
13903,13319
13859,13319
13784,13319
13536,13229
13348,13229
13335,13229
13311,13229
13281,13229
13294,13229
13257,13189
13283,13189
13283,12587
13204,12587
13119,12546
12828,12546
12629,12546
12591,12546
12603,12546
12567,12455
12587,12455
12572,12455
12524,12448
12485,12448
12511,12448
12466,12444
12480,12444
12470,12444
12504,12444
12476,12185
12532,12185
12435,12185
12404,12177
12235,12177
12238,12177
12204,12177
12191,12177
12227,12177
12236,12177
12202,12144
12222,12144
12236,12144
12202,12144
12163,11938
12171,11938
12165,11938
12102,11938
11985,11938
11975,11938
11962,11938
11995,11798
12030,11798
11960,11798
11900,11721
11861,11708
11814,11581
11797,11581
11757,11581
11711,11504
11657,11491
11638,11491
11587,11491
11526,11491
11519,11491
11513,11491
11534,11491
11539,11469
11570,11458
11554,11458
11506,11458
11502,11458
11508,11458
11484,11458
11480,11450
11497,11450
11510,11450
11494,11450
11495,11450
11520,11450
11501,11450
11477,11450
11484,11450
11492,11450
11493,11450
11504,11450
11518,11450
11484,11339
11506,11339
11475,11339
11470,11339
11403,11159
11358,11159
11354,11159
11291,11159
11189,11159
11188,11125
11204,11125
11187,11098
11229,11098
11163,10899
11181,10899
11110,10899
11054,10899
10918,10899
10927,10898
10959,10898
10934,10746
10949,10746
10911,10746
10867,10746
10803,10746
10780,10746
10790,10746
10811,10746
10814,10746
10775,10746
10804,10746
10775,10746
10802,10746
10785,10746
10772,10746
10756,10746
10793,10746
10808,10720
10827,10720
10790,10720
10923,10720
10775,10720
10740,10632
10800,10632
10778,10632
10731,10632
10734,10632
10657,10632
10678,10632
10673,10632
10669,10611
10681,10611
10649,10611
10659,10611
10708,10544
10661,10544
10636,10504
10630,10474
10589,10474
10599,10474
10519,10474
10500,10474
10514,10474
10532,10474
10521,10474
10549,10472
10513,10472
10519,10472
10636,10472
10539,10472
10539,10349
10517,10349
10527,10297
10462,10297
10419,10297
10409,10297
10353,10297
10363,10297
10404,10297
10363,10122
10326,10122
10360,10122
10293,10122
10165,10109
10182,10109
10153,10109
10170,10109
10180,10109
10155,10109
10165,10109
10153,10109
10160,10109
10153,10095
10139,10095
10154,10095
10128,10095
10144,10095
10144,10095
10128,10095
10180,10095
10155,10095
10113,10095
10130,10095
10135,10095
10113,10095
10137,10095
10158,10095
10116,10095
10143,10095
10113,10095
10100,10095
10134,10040
10142,10040
10117,10040
10065,10040
10128,10040
10090,10040
10097,10040
10089,10040
10135,10040
10119,10040
10105,10027
10098,10027
10077,10027
10046,10027
10048,10027
10111,10027
10077,9974
10062,9974
10073,9974
10060,9974
10068,9974
10023,9974
10004,9974
10016,9974
10025,9974
9996,9974
9999,9953
10020,9953
10003,9953
9970,9953
9970,9953
9990,9953
10014,9953
10001,9953
10007,9953
9994,9714
10016,9714
9984,9714
9982,9714
9916,9714
9815,9714
9742,9714
9726,9714
9744,9714
9774,9714
9748,9694
9767,9694
9770,9694
9733,9694
9708,9694
9746,9694
9741,9694
9727,9532
9720,9532
9712,9532
9666,9532
9597,9532
9640,9532
9588,9532
9607,9532
9580,9532
9568,9532
9620,9532
9583,9511
9576,9511
9583,9511
9569,9511
9546,9511
9581,9511
9553,9511
9530,9511
9563,9511
9566,9511
9564,9511
9564,9511
9550,9511
9581,9511
9546,9511
9532,9511
9591,9511
9550,9511
9576,9502
9550,9502
9526,9502
9564,9502
9543,9502
9546,9502
9543,9502
9521,9502
9532,9502
9526,9502
9530,9502
9534,9502
9535,9502
9531,9502
9533,9502
9532,9502
9515,9502
9579,9502
9549,9502
9543,9502
9518,9502
9570,9502
9545,9502
9548,9502
9561,9502
9547,9502
9570,9502
9553,9502
9561,9502
9516,9502
9552,9502
9560,9502
9559,9502
9562,9502
9524,9502
9542,9502
9559,9502
9573,9502
9547,9502
9547,9502
9543,9502
9551,9502
9553,9502
9559,9502
9575,9502
9560,9502
9514,9502
9524,9502
9560,9502
9560,9502
9561,9502
9589,9502
9532,9502
9523,9502
9542,9502
9516,9502
9524,9502
9533,9502
9544,9502
9567,9502
9546,9502
9556,9502
9583,9502
9538,9502
9532,9502
9539,9502
9534,9502
9539,9502
9543,9502
9542,9502
9526,9502
9556,9502
9542,9502
9547,9502
9566,9502
9582,9502
9538,9502
9543,9502
9533,9502
9524,9502
9540,9502
