averageFitness,bestFitness
30485,25730
28547,25685
26914,25685
25899,24380
25777,24380
25378,24380
24778,23861
24360,23861
24287,23850
23995,21943
23804,21943
23570,21943
22789,21943
22045,21676
21956,21676
21897,21592
21782,21592
21674,21592
21640,21418
21592,21001
21508,21001
21276,20578
21031,20578
20992,20578
20834,20279
20609,19981
20554,19760
20443,19760
20256,19760
19973,19758
19816,19717
19771,19576
19762,19502
19739,19467
19647,19186
19571,19186
19515,19186
19425,18549
19194,18549
19158,18549
19046,18410
18707,18410
18535,18354
18460,18352
18412,18315
18395,18315
18375,18315
18360,18315
18343,18281
18350,18016
18299,18013
18237,18013
18106,17855
18060,17855
18026,17347
18007,17347
17901,17347
17776,17347
17474,17347
17358,17347
17373,17347
17403,17341
17369,17341
17378,16915
17365,16862
17246,16862
16991,16082
16867,16082
16763,16082
16438,15956
16139,15956
16098,15910
16008,15910
16002,15910
15946,15910
15942,15246
15923,15246
15902,15233
15733,15214
15407,15214
15289,15113
15256,15052
15191,15004
15137,15004
15082,14891
15052,14645
15009,14645
14939,14645
14829,14506
14704,14506
14659,14470
14616,14094
14527,14094
14507,13969
14418,13916
14217,13916
14047,13533
13960,13533
13925,13533
13797,13533
13627,13533
13602,13454
13556,13454
13520,13427
13481,13375
13484,13226
13451,13226
13433,13226
13305,12812
13271,12812
13209,12812
13079,12761
12858,12761
12835,12761
12809,12761
12824,12761
12812,12761
12809,12761
12808,12747
12784,12747
12797,12685
12769,12685
12756,12685
12724,12680
12691,12663
12705,12663
12744,12663
12684,12534
12680,12534
12685,12533
12586,12223
12562,12223
12532,12223
12425,12223
12256,12223
12254,12223
12283,12223
12231,12223
12255,12197
12239,12197
12267,12079
12238,12079
12181,12079
12147,12079
12123,12079
12106,12029
12127,12029
12086,12029
12078,12011
12081,11738
12070,11738
12055,11738
12004,11738
11851,11738
11786,11680
11764,11680
11767,11680
11748,11680
11714,11680
11711,11680
11735,11680
11704,11680
11738,11680
11743,11680
11708,11248
11698,11248
11673,11248
11596,11248
11349,11192
11277,11192
11266,11192
11267,11131
11211,11131
11228,11131
11203,11131
11162,11131
11164,11089
11154,11089
11183,11089
11176,11089
11129,11089
11115,11089
11125,11024
11115,11024
11112,11024
11082,11024
11073,11024
11058,10939
11072,10939
11032,10841
11031,10841
10935,10841
10902,10756
10861,10756
10858,10756
10871,10756
10821,10756
10797,10756
10775,10756
10809,10756
10789,10756
10800,10756
10861,10756
10773,10756
10819,10756
10783,10756
10796,10756
10812,10756
10787,10756
10801,10746
10810,10625
10777,10625
10761,10625
10732,10625
10712,10616
10674,10616
10671,10616
10641,10616
10654,10616
10651,10616
10649,10616
10657,10616
10637,10616
10638,10616
10667,10616
10661,10562
10659,10562
10695,10562
10650,10562
10616,10562
10613,10562
10596,10562
10603,10562
10576,10562
10636,10562
10600,10562
10604,10562
10611,10562
10588,10562
10606,10537
10585,10537
10615,10489
10587,10489
10579,10489
10613,10489
10543,10288
10567,10288
10494,10288
10482,10288
10348,10288
10368,10288
10333,10288
10340,10288
10311,10288
10324,10288
10331,10288
10309,10288
10320,10273
10341,10242
10335,10242
10293,10242
10279,10242
10288,10242
10300,10242
10283,10242
10300,10242
10335,10242
10268,10242
10270,10141
10289,10125
10289,10125
10208,10125
10154,10125
10150,10125
10236,10125
10190,10125
10178,10125
10172,10125
10184,10125
10165,10125
10158,10125
10146,10095
10188,10095
10201,10095
10153,10095
10116,10095
10125,10095
10123,10095
10125,10027
10129,10027
10107,10027
10132,10027
10048,10027
10084,10027
10071,10027
10079,10027
10044,10027
10087,10027
10061,10024
10125,10007
10070,9824
10044,9824
10058,9824
9977,9824
9888,9780
9858,9780
9851,9780
9901,9780
9842,9727
9801,9727
9813,9727
9784,9655
9762,9655
9724,9655
9723,9655
9705,9655
9695,9655
9711,9655
9710,9655
9738,9574
9700,9574
9720,9574
9697,9554
9605,9554
9627,9525
9647,9525
9601,9525
9614,9525
9592,9525
9582,9525
9578,9525
9554,9525
9537,9510
9556,9510
9574,9510
9552,9510
9541,9479
9560,9479
9559,9479
9538,9479
9536,9407
9563,9407
9552,9407
9517,9407
9442,9407
9475,9407
9465,9407
9474,9407
9451,9407
9473,9407
9470,9407
9445,9407
9450,9407
9436,9407
9479,9407
9420,9407
9441,9407
9433,9407
9466,9407
9438,9407
9455,9407
9441,9407
9465,9257
9460,9257
9398,9257
9344,9257
9313,9257
9290,9257
9281,9257
9287,9257
9300,9257
9302,9224
9319,9224
9291,9224
9318,9148
9288,9148
9221,9148
9228,9148
9200,9148
9166,9148
9194,9148
9182,9148
9204,9148
9157,9148
9174,9148
9189,9148
9194,9148
9201,9148
9171,9148
9153,9148
9158,9148
9158,9148
9211,9148
9207,9148
9177,9148
9201,9148
9165,9148
9197,9148
9177,9148
9169,9148
9191,9148
9211,9148
9225,9148
9176,9148
9202,9148
9173,9148
9188,9148
9211,9148
9221,9148
9164,9148
9167,9148
9186,9120
9201,9120
9175,9120
9178,9120
9189,9120
9218,9120
9186,9120
9177,9120
9192,9120
9159,9120
9165,9120
9184,9120
9182,9120
9195,9120
9163,9120
9173,9120
9136,9120
9162,9120
9169,9120
9169,9120
