averageFitness,bestFitness
30655,27252
29303,26443
28421,25635
28133,24757
27432,23778
26694,23778
26160,22717
25688,21533
24706,21486
23847,20756
23295,19731
22694,19731
22012,19104
21315,19027
20727,18917
20267,18246
19984,17989
19518,17479
19264,17479
19109,17479
18862,17420
18916,17420
18742,17420
18687,17420
18304,17125
18338,17125
18229,16890
18113,16865
18106,16865
17974,16793
17921,16419
17566,16364
17643,16220
17266,16060
16498,15500
16296,15410
16106,15147
15968,15135
15448,15047
15462,14941
15203,14768
15135,14575
15039,14543
14901,14467
14878,14158
14804,14158
14592,14115
14405,14115
14233,14029
14281,14022
14219,14022
14210,13645
14485,13410
14227,13410
13993,13410
13776,13352
13502,13352
13467,13193
13467,13135
13417,13135
13369,13052
13295,12650
13259,12434
13208,12434
13064,12434
12632,12400
12608,12400
12647,12333
12737,12333
12866,12333
12647,12333
12509,12333
12465,12051
12603,12051
12503,12014
12508,12014
12514,11994
12227,11989
12249,11989
12149,11985
12266,11970
12139,11970
12204,11970
12406,11970
12334,11921
12125,11921
12053,11921
12052,11917
12062,11617
12043,11617
12156,11617
12385,11617
12121,11617
11840,11617
11780,11617
11737,11616
11908,11616
11769,11614
11767,11614
11767,11614
11727,11138
11716,11138
11679,11138
12110,11138
11878,11038
11262,11013
11174,11013
11152,10924
11096,10924
11109,10924
11142,10905
11115,10905
11051,10905
10986,10905
11004,10708
11029,10706
11049,10706
11071,10706
11008,10706
10964,10706
10785,10706
10816,10706
10824,10706
10774,10706
10799,10706
10781,10544
10776,10544
10815,10544
10747,10525
10649,10525
10653,10434
10642,10434
10606,10434
10663,10199
10664,10199
10512,10199
10569,10199
10537,10199
10345,10199
10249,10199
10279,10174
10293,10072
10264,10072
10251,10047
10200,10047
10173,10047
10114,10047
10163,10017
10086,10017
10145,10017
10103,10017
10121,10017
10128,10017
10137,10017
10087,9915
10116,9915
10129,9915
10055,9766
10037,9766
9965,9766
9992,9766
9985,9766
9865,9766
9853,9697
9839,9697
9844,9697
9786,9669
9781,9669
9806,9669
9818,9669
9778,9669
9762,9669
9727,9669
9756,9669
9751,9669
9726,9669
9728,9669
9730,9669
9790,9669
9731,9669
9763,9669
9797,9669
9802,9669
9721,9669
9753,9669
9753,9669
9770,9669
9749,9669
9764,9669
9758,9669
9762,9669
9776,9669
9780,9669
9806,9669
9770,9669
9756,9669
9755,9669
9788,9669
9745,9669
9770,9669
9790,9669
9783,9640
9739,9640
9718,9640
9726,9640
9701,9635
9710,9635
9718,9635
9716,9635
9747,9635
9695,9635
9673,9635
9727,9635
9701,9635
9726,9635
9753,9635
9707,9635
9725,9635
9682,9635
9679,9635
9747,9635
9722,9635
9749,9635
9720,9635
9696,9635
9721,9635
9753,9574
9695,9574
9721,9574
9723,9531
9683,9531
9624,9531
9664,9531
9614,9531
9668,9531
9636,9531
9622,9531
9586,9531
9577,9531
9633,9531
9633,9531
9609,9531
9638,9436
9658,9436
9603,9436
9635,9436
9641,9436
9715,9436
9642,9436
9755,9436
9549,9436
9545,9436
9520,9436
9497,9436
9512,9436
9549,9436
9501,9436
9564,9436
9493,9436
9532,9436
9562,9436
9523,9426
9522,9426
9548,9426
9505,9426
9532,9426
9521,9426
9500,9426
9499,9426
9513,9426
9501,9426
9483,9426
9512,9426
9485,9426
9497,9426
9477,9426
9522,9426
9474,9426
9498,9426
9536,9426
9532,9426
9526,9288
9560,9288
9521,9288
9529,9288
9418,9288
9416,9288
9376,9288
9377,9288
9359,9288
9372,9288
9364,9288
9354,9288
9382,9288
9421,9288
9390,9288
9393,9288
9353,9288
9377,9288
9354,9288
9386,9288
9407,9288
9368,9288
9380,9288
9379,9288
9351,9288
9401,9288
9407,9288
9388,9288
9388,9288
9407,9288
9353,9288
9435,9288
9350,9288
9378,9288
